time,open,high,low,close,volume
2022-07-21 07:00:00+00:00,9.149,9.335,9.149,9.335,4
2022-07-21 08:00:00+00:00,8.5,8.5,8.5,8.5,1
2022-07-21 09:00:00+00:00,8.566,8.566,8.566,8.566,3
2022-07-21 11:00:00+00:00,8.565,8.565,8.565,8.565,2
2022-07-21 14:00:00+00:00,8.566,8.566,8.566,8.566,2
2022-07-22 18:00:00+00:00,8.638,8.638,8.638,8.638,3
2022-07-25 10:00:00+00:00,8.711,8.711,8.711,8.711,1
2022-07-25 18:00:00+00:00,9.057,9.1,9.057,9.1,2
2022-07-25 20:00:00+00:00,9.149,9.15,9.149,9.15,2
2022-07-26 11:00:00+00:00,9.241,9.241,9.241,9.241,2
2022-07-26 13:00:00+00:00,9.185,9.185,9.185,9.185,1
2022-07-26 14:00:00+00:00,9.206,9.206,9.206,9.206,1
2022-07-26 19:00:00+00:00,8.974,8.974,8.974,8.974,1
2022-07-27 08:00:00+00:00,9.211,9.211,9.211,9.211,2
2022-07-27 12:00:00+00:00,9.086,9.086,9.086,9.086,1
2022-07-27 13:00:00+00:00,9.04,9.04,9.026,9.026,3
2022-07-28 16:00:00+00:00,8.799,8.799,8.799,8.799,3
2022-07-28 17:00:00+00:00,8.65,8.65,8.65,8.65,2
2022-07-28 18:00:00+00:00,8.62,8.62,8.62,8.62,1
2022-07-28 20:00:00+00:00,8.62,8.62,8.62,8.62,1
2022-07-29 07:00:00+00:00,8.698,8.699,8.698,8.699,2
2022-07-29 10:00:00+00:00,8.61,8.61,8.61,8.61,1
2022-07-29 17:00:00+00:00,8.707,8.707,8.707,8.707,1
2022-07-29 19:00:00+00:00,8.501,8.501,8.501,8.501,1
2022-08-01 07:00:00+00:00,8.4,8.465,8.4,8.465,6
2022-08-01 08:00:00+00:00,8.4,8.464,8.4,8.464,4
2022-08-01 14:00:00+00:00,8.662,8.662,8.662,8.662,5
2022-08-01 15:00:00+00:00,8.25,8.25,8.25,8.25,1
2022-08-01 16:00:00+00:00,8.818999999999999,8.882,8.818999999999999,8.882,6
2022-08-01 20:00:00+00:00,8.72,8.72,8.72,8.72,1
2022-08-02 11:00:00+00:00,8.52,8.52,8.355,8.355,6
2022-08-03 07:00:00+00:00,8.3,8.3,8.3,8.3,1
2022-08-03 13:00:00+00:00,8.29,8.29,8.29,8.29,1
2022-08-03 15:00:00+00:00,8.088,8.088,8.088,8.088,1
2022-08-03 18:00:00+00:00,8.57,8.57,8.504,8.504,3
2022-08-04 07:00:00+00:00,8.613,8.613,8.613,8.613,1
2022-08-04 10:00:00+00:00,8.677,8.677,8.677,8.677,1
2022-08-04 13:00:00+00:00,8.4,8.4,8.4,8.4,1
2022-08-04 14:00:00+00:00,8.38,8.4,8.38,8.4,2
2022-08-04 15:00:00+00:00,8.4,8.4,8.4,8.4,1
2022-08-05 07:00:00+00:00,8.599,8.599,8.599,8.599,1
2022-08-05 11:00:00+00:00,8.132,8.132,8.132,8.132,1
2022-08-08 11:00:00+00:00,8.148,8.148,8.148,8.148,1
2022-08-08 12:00:00+00:00,8.037,8.037,8.036,8.036,2
2022-08-08 13:00:00+00:00,7.961,7.961,7.961,7.961,1
2022-08-08 14:00:00+00:00,8.037,8.037,8.037,8.037,1
2022-08-08 16:00:00+00:00,7.851,7.851,7.851,7.851,1
2022-08-08 19:00:00+00:00,8.05,8.05,8.05,8.05,1
2022-08-10 16:00:00+00:00,7.804,7.804,7.804,7.804,1
2022-08-11 12:00:00+00:00,8.613,8.613,8.467,8.467,4
2022-08-11 14:00:00+00:00,8.481,8.481,8.481,8.481,1
2022-08-11 15:00:00+00:00,8.407,8.407,8.407,8.407,1
2022-08-11 16:00:00+00:00,7.854,8.954,7.854,8.563,5
2022-08-11 17:00:00+00:00,8.58,8.58,8.58,8.58,1
2022-08-11 18:00:00+00:00,8.744,8.744,8.744,8.744,1
2022-08-12 11:00:00+00:00,8.688,8.688,8.684,8.684,2
2022-08-12 13:00:00+00:00,8.789,8.789,8.789,8.789,1
2022-08-12 16:00:00+00:00,8.801,8.801,8.801,8.801,1
2022-08-12 20:00:00+00:00,8.9,8.9,8.9,8.9,1
2022-08-15 07:00:00+00:00,8.5,8.5,8.5,8.5,1
2022-08-15 18:00:00+00:00,8.755,8.755,8.755,8.755,1
2022-08-16 07:00:00+00:00,8.8,8.8,8.8,8.8,6
2022-08-16 08:00:00+00:00,8.8,8.8,8.8,8.8,4
2022-08-16 10:00:00+00:00,8.903,8.903,8.903,8.903,1
2022-08-16 12:00:00+00:00,9.158,9.158,9.158,9.158,1
2022-08-16 13:00:00+00:00,9.199,9.761,9.199,9.761,54
2022-08-16 14:00:00+00:00,9.45,9.45,9.45,9.45,1
2022-08-16 15:00:00+00:00,9.109,9.109,9.108,9.108,2
2022-08-16 16:00:00+00:00,8.8,8.8,8.8,8.8,1
2022-08-16 18:00:00+00:00,9.331,9.359,9.331,9.359,2
2022-08-16 20:00:00+00:00,9.258,9.258,9.258,9.258,1
2022-08-17 07:00:00+00:00,9.618,9.618,9.618,9.618,1
