time,open,high,low,close,volume
2022-12-27 06:00:00+00:00,4.993,4.993,4.993,4.993,1
2022-12-28 14:00:00+00:00,5.63,5.63,5.63,5.63,1
2023-01-03 06:00:00+00:00,4.873,4.905,4.873,4.905,2
2023-01-03 12:00:00+00:00,4.925,4.925,4.905,4.905,13
2023-01-03 13:00:00+00:00,4.905,4.95,4.905,4.95,2
2023-01-03 15:00:00+00:00,4.947,4.947,4.947,4.947,1
2023-01-03 16:00:00+00:00,4.874,4.874,4.873,4.873,13
2023-01-04 06:00:00+00:00,4.701,4.701,4.605,4.605,2
2023-01-04 11:00:00+00:00,4.934,4.934,4.7,4.7,2
2023-01-04 14:00:00+00:00,4.9350000000000005,4.9350000000000005,4.9350000000000005,4.9350000000000005,1
2023-01-04 18:00:00+00:00,4.95,4.95,4.95,4.95,2
2023-01-05 16:00:00+00:00,4.65,4.65,4.65,4.65,1
2023-01-06 10:00:00+00:00,4.894,4.894,4.783,4.783,2
2023-01-06 17:00:00+00:00,4.703,4.703,4.701,4.701,2
2023-01-09 07:00:00+00:00,4.8,4.8,4.8,4.8,1
2023-01-09 14:00:00+00:00,4.891,4.891,4.891,4.891,1
2023-01-09 15:00:00+00:00,4.995,5.009,4.995,5.009,3
2023-01-10 17:00:00+00:00,4.901,4.901,4.658,4.658,21
2023-01-10 18:00:00+00:00,4.892,4.892,4.873,4.873,2
2023-01-11 06:00:00+00:00,4.995,5.009,4.995,4.995,4
2023-01-11 07:00:00+00:00,4.963,4.963,4.963,4.963,1
2023-01-11 09:00:00+00:00,4.761,4.929,4.756,4.929,3
2023-01-11 10:00:00+00:00,4.9,4.9,4.767,4.767,3
2023-01-11 17:00:00+00:00,4.777,4.777,4.777,4.777,1
2023-01-12 09:00:00+00:00,4.959,4.963,4.959,4.963,3
2023-01-12 10:00:00+00:00,4.963,5.052,4.853,4.855,5
2023-01-12 11:00:00+00:00,4.879,4.879,4.878,4.878,5
2023-01-12 12:00:00+00:00,5.049,5.049,4.904,4.904,2
2023-01-12 16:00:00+00:00,5.05,5.05,5.046,5.046,2
2023-01-12 17:00:00+00:00,5.046,5.046,4.921,4.921,5
2023-01-12 20:00:00+00:00,4.938,4.938,4.938,4.938,1
2023-01-13 08:00:00+00:00,4.938,4.938,4.938,4.938,2
2023-01-13 10:00:00+00:00,4.968,4.968,4.968,4.968,1
2023-01-13 11:00:00+00:00,4.965,4.965,4.965,4.965,1
2023-01-13 15:00:00+00:00,4.945,4.945,4.945,4.945,1
2023-01-16 06:00:00+00:00,4.908,4.908,4.908,4.908,1
2023-01-16 12:00:00+00:00,4.87,4.87,4.87,4.87,1
2023-01-16 13:00:00+00:00,4.8469999999999995,4.8469999999999995,4.8469999999999995,4.8469999999999995,1
2023-01-16 14:00:00+00:00,4.84,4.84,4.742,4.744,5
2023-01-16 15:00:00+00:00,4.857,4.911,4.857,4.911,10
2023-01-16 16:00:00+00:00,5.098,5.098,5.046,5.046,10
2023-01-16 17:00:00+00:00,5.044,5.044,5.044,5.044,1
2023-01-16 18:00:00+00:00,5.0,5.0,5.0,5.0,5
2023-01-16 19:00:00+00:00,4.998,4.998,4.998,4.998,1
2023-01-17 07:00:00+00:00,4.998,4.998,4.998,4.998,8
