time,open,high,low,close,volume
2022-06-23 14:00:00+00:00,7.184,7.184,7.183,7.183,2
2022-06-27 14:00:00+00:00,7.025,7.025,7.025,7.025,1
2022-06-27 15:00:00+00:00,6.969,6.969,6.969,6.969,1
2022-06-28 08:00:00+00:00,7.649,7.649,7.649,7.649,1
2022-06-28 10:00:00+00:00,7.633,7.633,7.633,7.633,2
2022-06-28 15:00:00+00:00,7.5,7.5,7.5,7.5,1
2022-06-29 13:00:00+00:00,7.835,7.835,7.835,7.835,1
2022-06-30 09:00:00+00:00,7.257,7.257,7.257,7.257,1
2022-06-30 14:00:00+00:00,7.085,7.085,7.085,7.085,3
2022-07-04 07:00:00+00:00,6.979,6.979,6.979,6.979,4
2022-07-04 10:00:00+00:00,7.11,7.242,7.11,7.242,6
2022-07-04 11:00:00+00:00,7.498,7.498,7.348,7.379,4
2022-07-04 12:00:00+00:00,7.379,7.483,7.379,7.483,2
2022-07-04 15:00:00+00:00,7.224,7.224,7.224,7.224,5
2022-07-05 08:00:00+00:00,6.86,6.981,6.85,6.981,13
2022-07-05 09:00:00+00:00,7.049,7.049,6.985,6.985,3
2022-07-05 11:00:00+00:00,6.981,6.981,6.981,6.981,5
2022-07-05 13:00:00+00:00,7.1,7.1,7.1,7.1,1
2022-07-06 09:00:00+00:00,6.801,6.801,6.801,6.801,1
2022-07-06 14:00:00+00:00,6.932,6.932,6.932,6.932,1
2022-07-06 15:00:00+00:00,6.9350000000000005,6.9350000000000005,6.9350000000000005,6.9350000000000005,2
2022-07-07 13:00:00+00:00,7.126,7.138,7.126,7.138,2
2022-07-07 14:00:00+00:00,7.064,7.064,7.064,7.064,2
2022-07-07 15:00:00+00:00,7.095,7.095,7.088,7.088,4
2022-07-08 09:00:00+00:00,7.3629999999999995,7.3629999999999995,7.3629999999999995,7.3629999999999995,1
2022-07-08 11:00:00+00:00,7.502,8.017,7.502,8.017,20
2022-07-08 12:00:00+00:00,7.55,7.55,7.55,7.55,1
2022-07-08 14:00:00+00:00,7.476,7.476,7.476,7.476,3
2022-07-11 07:00:00+00:00,7.985,7.985,7.985,7.985,1
2022-07-11 09:00:00+00:00,7.811,7.811,7.811,7.811,1
2022-07-11 11:00:00+00:00,7.59,7.59,7.59,7.59,1
2022-07-11 12:00:00+00:00,7.63,7.63,7.63,7.63,3
2022-07-12 10:00:00+00:00,7.63,7.63,7.63,7.63,1
2022-07-12 11:00:00+00:00,7.68,7.68,7.68,7.68,1
2022-07-12 13:00:00+00:00,7.675,7.675,7.675,7.675,2
2022-07-12 15:00:00+00:00,7.304,7.304,7.304,7.304,1
2022-07-13 11:00:00+00:00,7.655,7.707,7.655,7.707,5
2022-07-13 15:00:00+00:00,7.501,7.501,7.501,7.501,4
2022-07-14 09:00:00+00:00,7.84,7.84,7.84,7.84,1
2022-07-14 11:00:00+00:00,8.065,8.065,8.065,8.065,2
2022-07-14 12:00:00+00:00,8.1,8.1,8.05,8.05,6
2022-07-15 11:00:00+00:00,7.848,7.848,7.848,7.848,2
2022-07-15 18:00:00+00:00,8.0,8.0,8.0,8.0,1
2022-07-15 19:00:00+00:00,8.035,8.035,8.035,8.035,2
2022-07-18 07:00:00+00:00,8.1,8.1,8.1,8.1,5
2022-07-18 12:00:00+00:00,8.332,8.332,8.332,8.332,3
2022-07-18 15:00:00+00:00,8.347,8.412,8.347,8.412,4
2022-07-18 16:00:00+00:00,8.352,8.352,8.352,8.352,2
2022-07-18 19:00:00+00:00,8.4,8.4,8.4,8.4,2
2022-07-19 12:00:00+00:00,8.398,8.398,8.398,8.398,1
2022-07-19 13:00:00+00:00,8.179,8.366,8.179,8.329,8
2022-07-19 15:00:00+00:00,8.355,8.355,8.355,8.355,1
2022-07-20 12:00:00+00:00,8.389,8.389,8.389,8.389,1
2022-07-20 14:00:00+00:00,8.323,8.323,8.323,8.323,1
2022-07-20 17:00:00+00:00,8.475999999999999,8.475999999999999,8.38,8.38,5
2022-07-20 19:00:00+00:00,8.48,8.48,8.48,8.48,1
2022-07-21 07:00:00+00:00,8.417,8.417,8.417,8.417,3
2022-07-21 08:00:00+00:00,8.361,8.499,8.361,8.499,2
2022-07-21 09:00:00+00:00,8.499,8.499,8.499,8.499,3
2022-07-21 12:00:00+00:00,8.499,8.499,8.499,8.499,1
2022-07-21 14:00:00+00:00,8.526,8.526,8.5,8.5,3
2022-07-21 16:00:00+00:00,8.485,8.485,8.485,8.485,1
2022-07-21 18:00:00+00:00,8.407,8.407,8.407,8.407,1
2022-07-22 08:00:00+00:00,8.4,8.4,8.4,8.4,1
2022-07-22 11:00:00+00:00,8.519,8.519,8.519,8.519,1
2022-07-22 13:00:00+00:00,8.535,8.535,8.535,8.535,1
2022-07-22 18:00:00+00:00,8.549,8.549,8.549,8.549,1
2022-07-22 19:00:00+00:00,8.618,8.618,8.562,8.562,3
2022-07-25 07:00:00+00:00,9.031,9.031,9.031,9.031,1
