time,open,high,low,close,volume
2023-09-21 14:00:00+00:00,3.4,3.4,3.4,3.4,10
2023-09-22 07:00:00+00:00,3.175,3.175,3.175,3.175,1
2023-09-22 08:00:00+00:00,3.177,3.177,3.177,3.177,1
2023-09-22 09:00:00+00:00,3.177,3.195,3.177,3.192,6
2023-09-22 10:00:00+00:00,3.18,3.18,3.173,3.173,5
2023-09-22 11:00:00+00:00,3.227,3.227,3.163,3.17,36
2023-09-22 13:00:00+00:00,3.171,3.173,3.165,3.165,17
2023-09-22 14:00:00+00:00,3.18,3.18,3.18,3.18,1
2023-09-22 15:00:00+00:00,3.171,3.171,3.16,3.16,6
2023-09-25 09:00:00+00:00,3.155,3.155,3.15,3.15,4
2023-09-25 11:00:00+00:00,3.15,3.15,3.12,3.12,6
2023-09-25 12:00:00+00:00,3.285,3.285,3.21,3.21,5
2023-09-25 14:00:00+00:00,3.344,3.344,3.344,3.344,2
2023-09-25 15:00:00+00:00,3.3,3.3,3.3,3.3,1
2023-09-26 06:00:00+00:00,3.299,3.299,3.15,3.15,4
2023-09-26 07:00:00+00:00,3.156,3.201,3.155,3.201,18
2023-09-26 10:00:00+00:00,3.151,3.185,3.151,3.185,2
2023-09-26 11:00:00+00:00,3.14,3.14,3.1390000000000002,3.14,3
2023-09-26 12:00:00+00:00,3.133,3.226,3.124,3.226,7
2023-09-26 13:00:00+00:00,3.16,3.23,3.145,3.23,13
2023-09-26 14:00:00+00:00,3.225,3.226,3.159,3.22,29
2023-09-26 15:00:00+00:00,3.227,3.227,3.227,3.227,7
2023-09-26 16:00:00+00:00,3.227,3.227,3.18,3.18,3
2023-09-26 17:00:00+00:00,3.18,3.21,3.18,3.21,2
2023-09-26 18:00:00+00:00,3.182,3.182,3.182,3.182,1
2023-09-26 19:00:00+00:00,3.182,3.182,3.182,3.182,1
2023-09-27 06:00:00+00:00,3.181,3.227,3.181,3.227,14
2023-09-27 07:00:00+00:00,3.165,3.165,3.15,3.155,24
2023-09-27 08:00:00+00:00,3.161,3.197,3.155,3.197,66
2023-09-27 11:00:00+00:00,3.192,3.23,3.192,3.2,55
2023-09-27 12:00:00+00:00,3.194,3.198,3.184,3.184,31
2023-09-27 13:00:00+00:00,3.183,3.183,3.183,3.183,1
2023-09-27 14:00:00+00:00,3.2,3.21,3.2,3.21,13
2023-09-27 15:00:00+00:00,3.196,3.22,3.196,3.22,101
2023-09-27 16:00:00+00:00,3.227,3.248,3.227,3.248,3
2023-09-27 17:00:00+00:00,3.217,3.217,3.217,3.217,3
2023-09-28 06:00:00+00:00,3.2,3.21,3.2,3.21,4
