time,open,high,low,close,volume
2023-10-25 08:00:00+00:00,3.25,3.25,3.25,3.25,1
2023-10-25 16:00:00+00:00,3.25,3.25,3.25,3.25,1
2023-10-26 08:00:00+00:00,3.349,3.349,3.349,3.349,1
2023-10-26 11:00:00+00:00,3.36,3.36,3.36,3.36,1
2023-10-26 14:00:00+00:00,3.354,3.354,3.354,3.354,1
2023-10-26 16:00:00+00:00,3.309,3.317,3.309,3.317,2
2023-10-26 17:00:00+00:00,3.34,3.34,3.34,3.34,1
2023-10-27 07:00:00+00:00,3.373,3.586,3.373,3.585,18
2023-10-27 08:00:00+00:00,3.5,3.525,3.446,3.446,4
2023-10-27 09:00:00+00:00,3.451,3.4699999999999998,3.448,3.4699999999999998,9
2023-10-27 10:00:00+00:00,3.453,3.467,3.45,3.45,6
2023-10-27 11:00:00+00:00,3.456,3.456,3.455,3.455,5
2023-10-27 12:00:00+00:00,3.462,3.462,3.462,3.462,2
2023-10-27 16:00:00+00:00,3.366,3.366,3.366,3.366,1
2023-10-27 17:00:00+00:00,3.439,3.439,3.439,3.439,2
2023-10-27 18:00:00+00:00,3.403,3.403,3.373,3.373,8
2023-10-30 06:00:00+00:00,3.355,3.38,3.332,3.343,26
2023-10-30 07:00:00+00:00,3.342,3.342,3.331,3.331,2
2023-10-30 09:00:00+00:00,3.321,3.321,3.321,3.321,2
2023-10-30 11:00:00+00:00,3.339,3.339,3.339,3.339,3
2023-10-30 12:00:00+00:00,3.358,3.358,3.358,3.358,2
2023-10-30 13:00:00+00:00,3.34,3.34,3.34,3.34,1
2023-10-30 14:00:00+00:00,3.336,3.336,3.336,3.336,2
2023-10-30 15:00:00+00:00,3.331,3.336,3.331,3.336,2
2023-10-30 17:00:00+00:00,3.343,3.349,3.339,3.339,8
2023-10-30 18:00:00+00:00,3.339,3.339,3.339,3.339,1
2023-10-31 07:00:00+00:00,3.343,3.35,3.343,3.35,3
2023-10-31 08:00:00+00:00,3.36,3.36,3.36,3.36,1
2023-10-31 10:00:00+00:00,3.376,3.376,3.376,3.376,2
2023-10-31 12:00:00+00:00,3.375,3.375,3.375,3.375,1
2023-10-31 13:00:00+00:00,3.376,3.38,3.376,3.38,4
2023-10-31 14:00:00+00:00,3.41,3.417,3.41,3.417,2
2023-10-31 15:00:00+00:00,3.411,3.411,3.411,3.411,1
2023-10-31 17:00:00+00:00,3.43,3.435,3.43,3.435,11
2023-11-01 06:00:00+00:00,3.435,3.435,3.432,3.432,4
2023-11-01 09:00:00+00:00,3.429,3.429,3.427,3.427,15
2023-11-01 11:00:00+00:00,3.402,3.402,3.376,3.376,6
2023-11-01 13:00:00+00:00,3.374,3.374,3.374,3.374,2
2023-11-01 14:00:00+00:00,3.388,3.422,3.388,3.422,6
2023-11-01 15:00:00+00:00,3.426,3.435,3.426,3.435,7
2023-11-02 10:00:00+00:00,3.3609999999999998,3.3609999999999998,3.3609999999999998,3.3609999999999998,1
2023-11-02 11:00:00+00:00,3.36,3.371,3.357,3.357,5
2023-11-02 15:00:00+00:00,3.409,3.409,3.409,3.409,1
2023-11-02 19:00:00+00:00,3.422,3.422,3.422,3.422,2
2023-11-02 20:00:00+00:00,3.423,3.423,3.41,3.41,2
2023-11-03 06:00:00+00:00,3.43,3.434,3.43,3.434,2
2023-11-03 07:00:00+00:00,3.435,3.46,3.435,3.46,2
2023-11-03 08:00:00+00:00,3.455,3.455,3.455,3.455,1
2023-11-03 11:00:00+00:00,3.411,3.411,3.41,3.41,2
2023-11-03 12:00:00+00:00,3.401,3.439,3.401,3.439,6
2023-11-03 15:00:00+00:00,3.41,3.41,3.41,3.41,1
2023-11-03 18:00:00+00:00,3.404,3.404,3.404,3.404,1
2023-11-06 06:00:00+00:00,3.362,3.362,3.309,3.309,3
2023-11-06 09:00:00+00:00,3.355,3.446,3.355,3.3689999999999998,7
2023-11-06 12:00:00+00:00,3.339,3.339,3.339,3.339,2
2023-11-06 13:00:00+00:00,3.339,3.339,3.329,3.329,3
2023-11-06 14:00:00+00:00,3.321,3.321,3.32,3.32,2
2023-11-06 15:00:00+00:00,3.315,3.325,3.315,3.325,3
2023-11-06 16:00:00+00:00,3.311,3.311,3.311,3.311,1
2023-11-06 17:00:00+00:00,3.315,3.324,3.315,3.324,4
2023-11-06 18:00:00+00:00,3.33,3.33,3.33,3.33,1
2023-11-07 06:00:00+00:00,3.346,3.363,3.346,3.363,5
2023-11-07 07:00:00+00:00,3.348,3.348,3.348,3.348,2
2023-11-07 09:00:00+00:00,3.3449999999999998,3.3449999999999998,3.334,3.334,2
2023-11-07 11:00:00+00:00,3.34,3.34,3.34,3.34,2
2023-11-07 12:00:00+00:00,3.324,3.332,3.316,3.316,11
2023-11-07 13:00:00+00:00,3.328,3.328,3.328,3.328,2
2023-11-07 14:00:00+00:00,3.318,3.318,3.315,3.315,4
2023-11-07 20:00:00+00:00,3.343,3.344,3.343,3.344,2
2023-11-08 07:00:00+00:00,3.328,3.328,3.328,3.328,1
2023-11-08 11:00:00+00:00,3.327,3.327,3.327,3.327,5
2023-11-08 12:00:00+00:00,3.317,3.317,3.317,3.317,2
2023-11-08 13:00:00+00:00,3.317,3.317,3.315,3.315,3
2023-11-08 14:00:00+00:00,3.344,3.35,3.344,3.35,4
2023-11-08 15:00:00+00:00,3.321,3.321,3.32,3.32,2
2023-11-08 18:00:00+00:00,3.323,3.323,3.322,3.322,5
2023-11-09 08:00:00+00:00,3.3609999999999998,3.3609999999999998,3.3609999999999998,3.3609999999999998,1
2023-11-09 10:00:00+00:00,3.352,3.3810000000000002,3.352,3.3810000000000002,10
2023-11-09 13:00:00+00:00,3.342,3.38,3.333,3.38,15
2023-11-09 15:00:00+00:00,3.334,3.334,3.334,3.334,1
2023-11-09 17:00:00+00:00,3.331,3.331,3.331,3.331,1
2023-11-10 06:00:00+00:00,3.332,3.332,3.332,3.332,1
2023-11-10 08:00:00+00:00,3.336,3.336,3.33,3.33,4
2023-11-10 10:00:00+00:00,3.336,3.336,3.303,3.303,2
2023-11-10 13:00:00+00:00,3.327,3.344,3.327,3.344,2
2023-11-13 06:00:00+00:00,3.349,3.356,3.349,3.356,16
2023-11-13 07:00:00+00:00,3.356,3.36,3.251,3.339,23
2023-11-13 08:00:00+00:00,3.35,3.357,3.35,3.357,9
2023-11-13 09:00:00+00:00,3.357,3.357,3.347,3.347,3
2023-11-13 11:00:00+00:00,3.354,3.354,3.354,3.354,6
2023-11-13 14:00:00+00:00,3.319,3.32,3.319,3.32,2
2023-11-13 15:00:00+00:00,3.319,3.333,3.319,3.333,6
2023-11-13 19:00:00+00:00,3.355,3.36,3.355,3.36,2
2023-11-14 08:00:00+00:00,3.322,3.322,3.311,3.311,4
2023-11-14 09:00:00+00:00,3.346,3.346,3.346,3.346,1
2023-11-14 14:00:00+00:00,3.3449999999999998,3.3449999999999998,3.3449999999999998,3.3449999999999998,2
2023-11-15 07:00:00+00:00,3.335,3.335,3.335,3.335,2
2023-11-15 08:00:00+00:00,3.335,3.335,3.335,3.335,2
2023-11-15 11:00:00+00:00,3.333,3.334,3.333,3.334,2
2023-11-15 20:00:00+00:00,3.376,3.376,3.376,3.376,1
2023-11-16 10:00:00+00:00,3.347,3.347,3.347,3.347,1
2023-11-16 14:00:00+00:00,3.3,3.301,3.3,3.301,3
2023-11-16 15:00:00+00:00,3.287,3.287,3.251,3.251,24
2023-11-16 16:00:00+00:00,3.251,3.308,3.212,3.29,8
2023-11-16 17:00:00+00:00,3.274,3.274,3.213,3.213,14
2023-11-16 18:00:00+00:00,3.213,3.213,3.213,3.213,2
2023-11-17 06:00:00+00:00,3.216,3.235,3.199,3.199,26
2023-11-17 07:00:00+00:00,3.198,3.209,3.193,3.209,5
2023-11-17 08:00:00+00:00,3.19,3.19,3.171,3.171,21
2023-11-17 09:00:00+00:00,3.172,3.172,3.17,3.17,3
2023-11-17 10:00:00+00:00,3.17,3.178,3.17,3.178,4
2023-11-17 13:00:00+00:00,3.151,3.172,3.15,3.172,7
2023-11-17 14:00:00+00:00,3.188,3.188,3.15,3.15,3
2023-11-17 15:00:00+00:00,3.176,3.176,3.176,3.176,1
2023-11-17 17:00:00+00:00,3.1310000000000002,3.1310000000000002,3.1310000000000002,3.1310000000000002,1
2023-11-17 18:00:00+00:00,3.1310000000000002,3.1310000000000002,3.13,3.13,3
2023-11-17 19:00:00+00:00,3.168,3.206,3.168,3.206,4
2023-11-20 06:00:00+00:00,3.148,3.148,3.12,3.144,6
2023-11-20 07:00:00+00:00,3.121,3.121,3.07,3.07,5
2023-11-20 08:00:00+00:00,3.165,3.165,3.115,3.117,15
2023-11-20 09:00:00+00:00,3.128,3.129,3.128,3.129,2
2023-11-20 11:00:00+00:00,3.145,3.147,3.142,3.142,8
2023-11-20 12:00:00+00:00,3.151,3.151,3.15,3.15,2
2023-11-20 13:00:00+00:00,3.162,3.162,3.162,3.162,2
2023-11-20 15:00:00+00:00,3.158,3.158,3.158,3.158,1
2023-11-20 16:00:00+00:00,3.16,3.16,3.16,3.16,5
2023-11-20 18:00:00+00:00,3.161,3.161,3.102,3.102,3
2023-11-20 20:00:00+00:00,3.156,3.156,3.156,3.156,2
2023-11-21 07:00:00+00:00,3.161,3.162,3.161,3.162,10
2023-11-21 09:00:00+00:00,3.187,3.19,3.177,3.177,29
2023-11-21 10:00:00+00:00,3.189,3.19,3.189,3.19,18
2023-11-21 11:00:00+00:00,3.177,3.177,3.177,3.177,2
2023-11-21 12:00:00+00:00,3.177,3.177,3.148,3.148,6
2023-11-21 17:00:00+00:00,3.118,3.118,3.101,3.101,16
2023-11-21 18:00:00+00:00,3.118,3.118,3.118,3.118,2
2023-11-21 19:00:00+00:00,3.081,3.081,3.079,3.08,4
2023-11-21 20:00:00+00:00,3.076,3.076,3.076,3.076,1
2023-11-22 06:00:00+00:00,3.082,3.082,3.073,3.073,14
2023-11-22 07:00:00+00:00,3.08,3.118,3.08,3.118,17
2023-11-22 08:00:00+00:00,3.094,3.094,3.092,3.092,5
2023-11-22 09:00:00+00:00,3.099,3.1,3.099,3.1,11
2023-11-22 10:00:00+00:00,3.078,3.099,3.078,3.099,3
2023-11-22 13:00:00+00:00,3.1,3.1,3.1,3.1,1
2023-11-22 14:00:00+00:00,3.087,3.087,3.087,3.087,1
2023-11-22 15:00:00+00:00,3.082,3.082,3.082,3.082,1
2023-11-22 16:00:00+00:00,3.102,3.102,3.084,3.084,2
2023-11-22 17:00:00+00:00,3.099,3.099,3.099,3.099,2
2023-11-22 18:00:00+00:00,3.082,3.082,3.082,3.082,1
2023-11-23 06:00:00+00:00,3.095,3.095,3.075,3.075,5
2023-11-23 08:00:00+00:00,3.094,3.094,3.094,3.094,2
2023-11-23 11:00:00+00:00,3.097,3.097,3.097,3.097,1
2023-11-23 14:00:00+00:00,3.087,3.087,3.087,3.087,8
2023-11-23 18:00:00+00:00,3.118,3.118,3.096,3.117,3
2023-11-23 20:00:00+00:00,3.117,3.117,3.117,3.117,1
2023-11-24 12:00:00+00:00,3.093,3.093,3.093,3.093,1
2023-11-24 13:00:00+00:00,3.094,3.1,3.093,3.1,5
2023-11-24 14:00:00+00:00,3.108,3.108,3.108,3.108,1
2023-11-24 16:00:00+00:00,3.107,3.11,3.107,3.11,4
2023-11-24 17:00:00+00:00,3.111,3.111,3.111,3.111,2
2023-11-24 18:00:00+00:00,3.089,3.117,3.075,3.117,6
2023-11-24 19:00:00+00:00,3.103,3.112,3.087,3.087,3
2023-11-27 05:00:00+00:00,3.035,3.035,3.035,3.035,6
2023-11-27 06:00:00+00:00,3.035,3.07,3.006,3.01,25
2023-11-27 07:00:00+00:00,3.034,3.045,3.03,3.045,17
2023-11-27 08:00:00+00:00,3.042,3.043,3.042,3.042,78
2023-11-27 09:00:00+00:00,3.032,3.032,3.03,3.03,2
2023-11-27 10:00:00+00:00,3.027,3.028,3.021,3.027,4
2023-11-27 14:00:00+00:00,3.033,3.033,3.027,3.027,3
2023-11-27 15:00:00+00:00,3.027,3.027,3.027,3.027,1
2023-11-27 16:00:00+00:00,3.039,3.039,3.039,3.039,1
2023-11-27 17:00:00+00:00,3.049,3.05,3.049,3.05,3
2023-11-27 18:00:00+00:00,3.044,3.046,3.044,3.045,10
2023-11-27 19:00:00+00:00,3.047,3.054,3.047,3.054,8
2023-11-28 07:00:00+00:00,3.057,3.061,3.054,3.056,7
2023-11-28 10:00:00+00:00,3.07,3.07,3.07,3.07,1
2023-11-28 11:00:00+00:00,3.064,3.064,3.064,3.064,1
2023-11-28 12:00:00+00:00,3.057,3.065,3.056,3.065,6
