time,open,high,low,close,volume
2022-04-27 09:00:00+00:00,7.5,7.5,7.5,7.5,1
2022-04-29 15:00:00+00:00,6.318,6.318,6.318,6.318,1
2022-05-04 13:00:00+00:00,6.605,7.545,6.605,7.545,2
2022-05-05 07:00:00+00:00,8.5,8.5,6.522,6.522,2
2022-05-05 09:00:00+00:00,7.603,7.7219999999999995,7.603,7.7219999999999995,2
2022-05-12 12:00:00+00:00,7.582,7.582,7.582,7.582,1
2022-05-13 09:00:00+00:00,7.777,7.777,7.777,7.777,1
2022-05-13 10:00:00+00:00,7.93,7.93,7.93,7.93,1
2022-05-13 13:00:00+00:00,7.932,7.932,7.93,7.93,5
2022-05-16 11:00:00+00:00,8.142,8.161,8.142,8.161,2
2022-05-16 14:00:00+00:00,8.129,8.129,8.129,8.129,1
2022-05-17 07:00:00+00:00,8.416,8.475,7.888,7.888,4
2022-05-17 08:00:00+00:00,8.345,8.345,8.345,8.345,2
2022-05-17 09:00:00+00:00,8.331,8.399000000000001,8.331,8.399000000000001,6
2022-05-17 10:00:00+00:00,8.004,8.399000000000001,7.888,8.397,13
2022-05-17 12:00:00+00:00,8.304,8.314,8.304,8.314,2
2022-05-17 14:00:00+00:00,8.38,8.38,8.38,8.38,1
2022-05-18 07:00:00+00:00,8.615,8.932,8.306,8.306,10
2022-05-18 09:00:00+00:00,8.499,8.499,8.4,8.4,2
2022-05-18 10:00:00+00:00,8.495,8.496,8.495,8.496,4
2022-05-18 11:00:00+00:00,8.486,8.487,8.419,8.419,3
2022-05-18 13:00:00+00:00,8.486,8.486,8.486,8.486,1
2022-05-19 07:00:00+00:00,8.449,8.449,8.449,8.449,1
2022-05-19 08:00:00+00:00,8.4,8.48,8.003,8.051,22
2022-05-19 09:00:00+00:00,8.061,8.061,8.051,8.051,10
2022-05-19 10:00:00+00:00,8.401,8.401,8.401,8.401,2
2022-05-19 11:00:00+00:00,8.388,8.388,8.16,8.16,13
2022-05-19 12:00:00+00:00,8.162,8.162,8.161,8.161,6
2022-05-19 14:00:00+00:00,8.11,8.38,8.11,8.38,5
2022-05-19 15:00:00+00:00,8.379,8.388,8.2,8.2,10
2022-05-20 07:00:00+00:00,8.35,8.35,8.35,8.35,1
2022-05-20 08:00:00+00:00,8.376,8.4,8.376,8.4,2
2022-05-20 09:00:00+00:00,8.073,8.073,8.073,8.073,1
2022-05-20 10:00:00+00:00,8.344,8.346,8.344,8.346,3
2022-05-20 12:00:00+00:00,8.057,8.343,8.057,8.343,3
2022-05-23 07:00:00+00:00,8.4,8.4,8.4,8.4,1
2022-05-23 10:00:00+00:00,8.074,8.074,8.074,8.074,3
2022-05-23 11:00:00+00:00,8.075,8.075,8.075,8.075,1
2022-05-23 12:00:00+00:00,8.29,8.334,7.888,8.334,10
2022-05-23 14:00:00+00:00,8.117,8.15,8.117,8.15,2
