time,open,high,low,close,volume
2022-08-23 11:00:00+00:00,10.279,10.279,10.279,10.279,1
2022-08-23 17:00:00+00:00,9.6,9.6,9.6,9.6,1
2022-08-24 10:00:00+00:00,9.734,9.734,9.734,9.734,1
2022-08-24 15:00:00+00:00,9.79,9.79,9.79,9.79,1
2022-08-25 07:00:00+00:00,9.64,9.64,9.64,9.64,2
2022-08-25 15:00:00+00:00,9.482,9.482,9.46,9.46,3
2022-08-25 16:00:00+00:00,10.3,10.3,9.628,9.628,2
2022-08-26 08:00:00+00:00,9.629,9.629,9.629,9.629,1
2022-08-26 12:00:00+00:00,9.469,9.469,9.46,9.46,2
2022-08-26 16:00:00+00:00,9.836,9.836,9.62,9.74,3
2022-08-26 17:00:00+00:00,9.31,9.31,9.31,9.31,1
2022-08-26 18:00:00+00:00,9.419,9.419,9.419,9.419,1
2022-08-29 10:00:00+00:00,9.350999999999999,9.350999999999999,9.35,9.35,3
2022-08-29 12:00:00+00:00,9.207,9.207,9.207,9.207,1
2022-08-29 13:00:00+00:00,9.122,9.122,9.079,9.079,2
2022-08-29 14:00:00+00:00,9.248,9.25,9.248,9.25,2
2022-08-29 18:00:00+00:00,9.0,9.0,9.0,9.0,1
2022-08-30 09:00:00+00:00,9.2,9.2,9.2,9.2,1
2022-08-30 13:00:00+00:00,9.072,9.072,9.072,9.072,1
2022-08-30 16:00:00+00:00,8.86,8.93,8.86,8.93,2
2022-08-30 20:00:00+00:00,8.86,8.86,8.86,8.86,1
2022-08-31 16:00:00+00:00,8.76,8.76,8.76,8.76,1
2022-09-01 07:00:00+00:00,8.857,8.857,8.857,8.857,1
2022-09-01 13:00:00+00:00,9.044,9.044,9.044,9.044,1
2022-09-01 15:00:00+00:00,8.902,8.902,8.902,8.902,1
2022-09-01 20:00:00+00:00,8.808,8.808,8.808,8.808,1
2022-09-02 14:00:00+00:00,8.811,8.811,8.805,8.805,7
2022-09-02 15:00:00+00:00,8.705,8.705,8.66,8.66,2
2022-09-02 17:00:00+00:00,8.995,8.995,8.71,8.71,2
2022-09-05 20:00:00+00:00,8.745,8.745,8.379,8.379,7
2022-09-06 07:00:00+00:00,8.835,8.836,8.835,8.836,2
2022-09-06 10:00:00+00:00,8.788,8.788,8.788,8.788,2
2022-09-06 11:00:00+00:00,8.76,8.76,8.7,8.74,3
2022-09-06 12:00:00+00:00,8.65,8.65,8.65,8.65,1
2022-09-06 13:00:00+00:00,8.632,8.632,8.632,8.632,1
2022-09-06 14:00:00+00:00,8.697,8.697,8.697,8.697,2
2022-09-06 15:00:00+00:00,8.6,8.6,8.6,8.6,1
2022-09-06 16:00:00+00:00,8.54,8.54,8.54,8.54,1
2022-09-06 17:00:00+00:00,8.509,8.509,8.508,8.508,3
2022-09-06 18:00:00+00:00,8.414,8.414,8.414,8.414,1
2022-09-06 19:00:00+00:00,8.5,8.5,8.148,8.148,9
2022-09-07 12:00:00+00:00,8.354,8.354,8.174,8.174,5
2022-09-07 15:00:00+00:00,8.178,8.178,8.148,8.148,18
2022-09-07 17:00:00+00:00,7.93,7.93,7.93,7.93,1
2022-09-08 07:00:00+00:00,8.065,8.065,8.026,8.026,3
2022-09-08 08:00:00+00:00,8.025,8.025,7.888,7.888,6
2022-09-08 12:00:00+00:00,8.09,8.09,8.09,8.09,1
2022-09-08 13:00:00+00:00,8.189,8.19,8.189,8.19,4
2022-09-08 15:00:00+00:00,8.107,8.107,8.107,8.107,1
2022-09-08 16:00:00+00:00,8.152,8.152,8.152,8.152,2
2022-09-08 17:00:00+00:00,8.028,8.028,8.028,8.028,1
2022-09-09 07:00:00+00:00,8.187,8.188,8.187,8.188,3
2022-09-09 08:00:00+00:00,8.187,8.188,8.187,8.188,2
2022-09-09 09:00:00+00:00,8.188,8.188,8.188,8.188,1
2022-09-09 10:00:00+00:00,8.188,8.188,8.188,8.188,5
2022-09-09 11:00:00+00:00,8.187,8.199,8.187,8.199,2
2022-09-09 12:00:00+00:00,8.198,8.198,8.198,8.198,1
2022-09-09 13:00:00+00:00,8.13,8.13,8.13,8.13,1
2022-09-09 15:00:00+00:00,8.018,8.018,8.018,8.018,1
2022-09-09 16:00:00+00:00,7.75,7.75,7.75,7.75,1
2022-09-09 20:00:00+00:00,8.15,8.15,8.038,8.038,2
2022-09-12 06:00:00+00:00,8.025,8.084,7.779,8.077,4
2022-09-12 10:00:00+00:00,8.275,8.275,8.098,8.098,2
2022-09-12 14:00:00+00:00,8.167,8.167,8.167,8.167,2
2022-09-12 16:00:00+00:00,8.002,8.348,8.002,8.348,2
2022-09-12 19:00:00+00:00,8.178,8.178,8.062,8.062,5
2022-09-13 07:00:00+00:00,8.28,8.29,8.222,8.222,9
2022-09-13 09:00:00+00:00,8.289,8.289,8.22,8.28,6
2022-09-13 10:00:00+00:00,8.279,8.279,8.279,8.279,1
2022-09-13 11:00:00+00:00,8.22,8.22,8.22,8.22,7
2022-09-13 16:00:00+00:00,8.0,8.0,8.0,8.0,1
2022-09-14 12:00:00+00:00,8.298,8.298,8.298,8.298,1
2022-09-14 13:00:00+00:00,8.379,8.379,8.379,8.379,3
2022-09-14 14:00:00+00:00,8.308,8.309,8.308,8.309,3
2022-09-14 15:00:00+00:00,8.309,8.309,8.309,8.309,1
2022-09-14 16:00:00+00:00,8.253,8.253,8.253,8.253,1
2022-09-14 18:00:00+00:00,8.5,8.5,8.5,8.5,1
2022-09-14 19:00:00+00:00,8.582,8.582,8.56,8.564,5
2022-09-14 20:00:00+00:00,8.599,8.599,8.599,8.599,1
2022-09-15 07:00:00+00:00,8.589,8.589,8.525,8.525,3
2022-09-15 08:00:00+00:00,8.587,8.588,8.587,8.588,2
2022-09-15 10:00:00+00:00,8.302,8.302,8.302,8.302,1
2022-09-15 11:00:00+00:00,8.314,8.314,8.25,8.25,5
2022-09-15 12:00:00+00:00,8.22,8.22,8.22,8.22,1
2022-09-15 13:00:00+00:00,8.209,8.209,8.128,8.128,3
2022-09-15 14:00:00+00:00,8.13,8.13,8.128,8.128,2
2022-09-15 16:00:00+00:00,7.915,7.915,7.915,7.915,1
2022-09-15 19:00:00+00:00,8.05,8.05,8.0,8.0,3
2022-09-16 07:00:00+00:00,8.002,8.058,8.002,8.058,2
2022-09-16 08:00:00+00:00,8.004,8.004,8.002,8.002,2
2022-09-16 09:00:00+00:00,8.067,8.067,8.031,8.031,2
2022-09-16 13:00:00+00:00,8.002,8.002,8.002,8.002,1
2022-09-16 14:00:00+00:00,8.0,8.0,8.0,8.0,1
2022-09-16 16:00:00+00:00,7.9399999999999995,7.9399999999999995,7.797,7.797,5
2022-09-16 18:00:00+00:00,7.85,7.85,7.792,7.792,2
2022-09-16 20:00:00+00:00,7.936,7.936,7.812,7.812,2
2022-09-19 06:00:00+00:00,7.8100000000000005,7.8100000000000005,7.6,7.6,3
2022-09-19 07:00:00+00:00,7.602,7.602,7.602,7.602,1
2022-09-19 11:00:00+00:00,7.603,7.603,7.516,7.516,8
2022-09-19 12:00:00+00:00,7.6,7.6,7.6,7.6,2
2022-09-19 16:00:00+00:00,7.369,7.782,7.369,7.782,3
2022-09-19 19:00:00+00:00,7.879,7.925,7.879,7.925,2
2022-09-19 20:00:00+00:00,7.82,7.82,7.55,7.55,2
2022-09-20 08:00:00+00:00,7.724,7.724,7.724,7.724,1
2022-09-20 12:00:00+00:00,7.866,7.866,7.866,7.866,2
2022-09-20 13:00:00+00:00,7.78,7.78,7.78,7.78,1
2022-09-20 15:00:00+00:00,7.96,7.96,7.658,7.658,2
2022-09-20 18:00:00+00:00,7.721,7.721,7.721,7.721,2
2022-09-20 20:00:00+00:00,7.8309999999999995,7.84,7.61,7.61,5
2022-09-21 06:00:00+00:00,7.679,7.679,7.495,7.495,3
2022-09-21 07:00:00+00:00,7.912,8.134,7.804,7.804,7
2022-09-21 09:00:00+00:00,7.801,7.801,7.588,7.588,3
2022-09-21 10:00:00+00:00,7.657,7.868,7.626,7.868,4
2022-09-21 13:00:00+00:00,7.79,7.79,7.79,7.79,1
2022-09-21 14:00:00+00:00,7.782,7.782,7.782,7.782,33
2022-09-21 16:00:00+00:00,7.763,7.763,7.715,7.715,4
2022-09-22 06:00:00+00:00,7.861,7.861,7.861,7.861,1
2022-09-22 07:00:00+00:00,7.712,7.712,7.712,7.712,1
2022-09-22 09:00:00+00:00,7.873,7.873,7.873,7.873,1
2022-09-22 10:00:00+00:00,7.773,7.773,7.773,7.773,1
2022-09-22 11:00:00+00:00,7.755,7.755,7.754,7.754,2
2022-09-22 12:00:00+00:00,7.72,7.72,7.72,7.72,1
2022-09-22 14:00:00+00:00,7.71,7.71,7.62,7.62,12
2022-09-22 15:00:00+00:00,7.601,7.601,7.552,7.555,5
2022-09-22 16:00:00+00:00,7.5,7.55,7.24,7.24,10
2022-09-22 18:00:00+00:00,7.248,7.248,7.241,7.241,4
2022-09-23 06:00:00+00:00,7.246,7.246,7.243,7.243,2
2022-09-23 08:00:00+00:00,7.242,7.242,7.242,7.242,1
2022-09-23 09:00:00+00:00,7.097,7.097,7.097,7.097,1
2022-09-23 11:00:00+00:00,7.19,7.199,7.19,7.199,4
2022-09-23 12:00:00+00:00,7.2,7.2,7.098,7.098,39
2022-09-23 13:00:00+00:00,7.098,7.16,7.098,7.16,2
2022-09-23 14:00:00+00:00,7.249,7.249,7.158,7.158,3
2022-09-23 15:00:00+00:00,7.101,7.18,7.101,7.108,3
2022-09-23 18:00:00+00:00,7.078,7.078,7.078,7.078,1
2022-09-26 08:00:00+00:00,7.07,7.07,7.07,7.07,1
2022-09-26 09:00:00+00:00,7.171,7.171,7.171,7.171,2
2022-09-26 10:00:00+00:00,7.07,7.07,7.07,7.07,1
2022-09-26 11:00:00+00:00,7.059,7.1,7.056,7.056,3
2022-09-26 16:00:00+00:00,7.033,7.033,7.033,7.033,1
2022-09-27 07:00:00+00:00,7.541,7.541,7.348,7.348,12
2022-09-27 09:00:00+00:00,7.4,7.42,7.4,7.42,2
2022-09-27 10:00:00+00:00,7.42,7.42,7.42,7.42,4
2022-09-27 11:00:00+00:00,7.42,7.42,7.42,7.42,1
2022-09-27 12:00:00+00:00,7.451,7.451,7.4,7.4,3
2022-09-27 13:00:00+00:00,7.4,7.4,7.297,7.298,6
2022-09-27 14:00:00+00:00,7.297,7.297,7.251,7.26,8
2022-09-27 15:00:00+00:00,7.297,7.327,7.297,7.327,6
2022-09-27 16:00:00+00:00,7.248,7.264,7.248,7.264,6
2022-09-27 17:00:00+00:00,7.249,7.249,7.249,7.249,1
2022-09-27 18:00:00+00:00,7.247,7.249,7.247,7.249,3
2022-09-28 06:00:00+00:00,7.274,7.358,7.274,7.358,2
2022-09-28 09:00:00+00:00,7.298,7.298,7.298,7.298,1
2022-09-28 11:00:00+00:00,7.486,7.486,7.139,7.161,4
2022-09-28 15:00:00+00:00,7.388,7.388,7.388,7.388,1
2022-09-28 18:00:00+00:00,7.343,7.343,7.222,7.222,7
2022-09-28 19:00:00+00:00,7.264,7.34,7.264,7.34,4
2022-09-29 06:00:00+00:00,7.243,7.307,7.242,7.307,4
2022-09-29 07:00:00+00:00,7.28,7.28,7.28,7.28,1
2022-09-29 09:00:00+00:00,7.331,7.331,7.328,7.328,5
2022-09-29 11:00:00+00:00,7.371,7.371,7.371,7.371,2
2022-09-29 12:00:00+00:00,7.22,7.223,7.22,7.22,22
2022-09-29 13:00:00+00:00,7.22,7.777,7.18,7.24,36
2022-09-29 14:00:00+00:00,7.2,7.2,7.152,7.152,4
2022-09-29 15:00:00+00:00,7.261,7.265,7.261,7.265,3
2022-09-29 16:00:00+00:00,7.212,7.29,7.212,7.289,4
2022-09-29 17:00:00+00:00,7.289,7.335,7.289,7.335,6
2022-09-29 19:00:00+00:00,7.268,7.268,7.268,7.268,1
2022-09-30 06:00:00+00:00,7.256,7.256,7.256,7.256,1
2022-09-30 10:00:00+00:00,7.31,7.454,7.281,7.281,5
2022-09-30 11:00:00+00:00,7.295,7.295,7.295,7.295,1
2022-09-30 12:00:00+00:00,7.36,7.36,7.36,7.36,2
2022-09-30 13:00:00+00:00,7.211,7.211,7.136,7.2,7
2022-09-30 16:00:00+00:00,7.002,7.29,7.002,7.29,4
2022-10-03 06:00:00+00:00,7.08,7.08,7.08,7.08,3
