time,open,high,low,close,volume
2021-12-23 12:00:00+00:00,3.678,3.678,3.678,3.678,1
2021-12-23 14:00:00+00:00,3.644,3.644,3.644,3.644,1
2021-12-23 15:00:00+00:00,3.5460000000000003,3.549,3.542,3.542,14
2021-12-27 09:00:00+00:00,3.6470000000000002,3.6470000000000002,3.6470000000000002,3.6470000000000002,1
2021-12-27 15:00:00+00:00,3.71,3.71,3.71,3.71,1
2021-12-27 17:00:00+00:00,3.746,3.746,3.746,3.746,10
2021-12-28 05:00:00+00:00,3.85,3.85,3.85,3.85,1
2021-12-28 14:00:00+00:00,3.784,3.784,3.782,3.782,7
2021-12-28 19:00:00+00:00,3.766,3.7880000000000003,3.766,3.7880000000000003,9
2021-12-29 11:00:00+00:00,3.879,3.88,3.879,3.88,4
2021-12-29 14:00:00+00:00,3.858,3.858,3.858,3.858,3
2021-12-29 19:00:00+00:00,3.816,3.816,3.766,3.766,2
2021-12-30 15:00:00+00:00,3.729,3.729,3.729,3.729,3
2021-12-30 17:00:00+00:00,3.621,3.621,3.61,3.61,12
2021-12-30 19:00:00+00:00,3.542,3.542,3.542,3.542,1
2022-01-03 08:00:00+00:00,3.674,3.674,3.674,3.674,1
2022-01-03 10:00:00+00:00,3.7,3.7,3.7,3.7,2
2022-01-03 11:00:00+00:00,3.7,3.7,3.7,3.7,3
2022-01-03 12:00:00+00:00,3.657,3.657,3.657,3.657,1
2022-01-04 12:00:00+00:00,3.8040000000000003,3.8040000000000003,3.801,3.801,5
2022-01-04 13:00:00+00:00,3.809,3.809,3.809,3.809,5
2022-01-04 15:00:00+00:00,3.726,3.729,3.726,3.729,9
2022-01-04 16:00:00+00:00,3.7880000000000003,3.7880000000000003,3.7880000000000003,3.7880000000000003,2
2022-01-04 17:00:00+00:00,3.797,3.797,3.7880000000000003,3.7880000000000003,2
2022-01-04 19:00:00+00:00,3.746,3.746,3.702,3.7119999999999997,9
2022-01-04 20:00:00+00:00,3.73,3.73,3.73,3.73,1
2022-01-05 13:00:00+00:00,3.771,3.771,3.771,3.771,1
2022-01-05 16:00:00+00:00,3.761,3.762,3.761,3.762,2
2022-01-06 07:00:00+00:00,3.776,3.776,3.776,3.776,1
2022-01-06 11:00:00+00:00,3.826,3.826,3.808,3.808,7
2022-01-06 13:00:00+00:00,3.77,3.778,3.77,3.778,3
2022-01-10 04:00:00+00:00,3.942,3.945,3.941,3.945,9
2022-01-10 05:00:00+00:00,3.95,3.95,3.935,3.935,2
2022-01-10 06:00:00+00:00,3.949,3.949,3.949,3.949,1
2022-01-10 07:00:00+00:00,3.95,3.95,3.95,3.95,3
2022-01-10 10:00:00+00:00,3.941,3.941,3.932,3.932,3
2022-01-10 12:00:00+00:00,3.95,3.95,3.949,3.95,4
2022-01-10 13:00:00+00:00,3.973,3.973,3.96,3.96,4
2022-01-10 14:00:00+00:00,3.925,3.925,3.925,3.925,1
2022-01-10 16:00:00+00:00,3.868,3.868,3.868,3.868,1
2022-01-10 19:00:00+00:00,3.89,3.89,3.89,3.89,2
2022-01-11 04:00:00+00:00,3.9210000000000003,3.9210000000000003,3.9210000000000003,3.9210000000000003,1
2022-01-11 08:00:00+00:00,3.8689999999999998,3.8689999999999998,3.8689999999999998,3.8689999999999998,3
2022-01-11 10:00:00+00:00,3.872,3.872,3.872,3.872,1
2022-01-11 15:00:00+00:00,3.912,3.912,3.912,3.912,1
2022-01-11 16:00:00+00:00,3.95,3.9539999999999997,3.95,3.9539999999999997,4
2022-01-11 18:00:00+00:00,3.94,3.945,3.94,3.945,4
2022-01-12 05:00:00+00:00,3.998,3.998,3.998,3.998,4
2022-01-12 06:00:00+00:00,3.984,3.984,3.984,3.984,4
2022-01-12 07:00:00+00:00,3.9939999999999998,4.049,3.9939999999999998,4.046,23
2022-01-12 08:00:00+00:00,4.045,4.06,4.045,4.06,3
2022-01-12 09:00:00+00:00,4.082,4.082,4.065,4.074,14
2022-01-12 10:00:00+00:00,4.076,4.076,4.076,4.076,1
2022-01-12 13:00:00+00:00,4.079,4.092,4.079,4.092,2
2022-01-12 14:00:00+00:00,4.122,4.122,4.109,4.109,15
2022-01-12 15:00:00+00:00,4.152,4.152,4.152,4.152,1
2022-01-12 16:00:00+00:00,4.135,4.18,4.135,4.18,5
2022-01-12 17:00:00+00:00,4.169,4.169,4.169,4.169,1
2022-01-12 18:00:00+00:00,4.19,4.19,4.19,4.19,3
2022-01-12 19:00:00+00:00,4.202,4.232,4.202,4.232,4
2022-01-13 09:00:00+00:00,4.209,4.209,4.209,4.209,1
2022-01-13 10:00:00+00:00,4.219,4.219,4.219,4.219,1
2022-01-13 11:00:00+00:00,4.202,4.202,4.202,4.202,1
2022-01-13 13:00:00+00:00,4.176,4.18,4.176,4.18,9
2022-01-13 14:00:00+00:00,4.151,4.16,4.145,4.16,6
2022-01-13 15:00:00+00:00,4.14,4.14,4.14,4.14,1
2022-01-13 16:00:00+00:00,4.114,4.123,4.114,4.123,3
2022-01-13 17:00:00+00:00,4.131,4.131,4.131,4.131,5
2022-01-14 07:00:00+00:00,4.029,4.031,4.029,4.031,3
2022-01-14 10:00:00+00:00,4.056,4.056,4.041,4.041,6
2022-01-14 12:00:00+00:00,4.029,4.03,4.027,4.03,10
2022-01-14 13:00:00+00:00,4.069,4.073,4.053,4.053,7
2022-01-14 14:00:00+00:00,4.064,4.064,4.064,4.064,1
2022-01-14 16:00:00+00:00,4.064,4.064,4.064,4.064,1
2022-01-14 17:00:00+00:00,4.091,4.091,4.091,4.091,1
2022-01-14 19:00:00+00:00,4.128,4.128,4.105,4.105,5
2022-01-14 20:00:00+00:00,4.113,4.113,4.113,4.113,1
2022-01-17 05:00:00+00:00,4.163,4.163,4.163,4.163,1
2022-01-17 09:00:00+00:00,4.16,4.16,4.152,4.158,40
2022-01-17 10:00:00+00:00,4.165,4.173,4.165,4.173,6
2022-01-17 12:00:00+00:00,4.139,4.139,4.139,4.139,4
2022-01-17 14:00:00+00:00,4.18,4.183,4.18,4.183,12
2022-01-17 16:00:00+00:00,4.172,4.172,4.172,4.172,5
2022-01-17 19:00:00+00:00,4.162,4.162,4.162,4.162,5
2022-01-18 04:00:00+00:00,4.184,4.184,4.184,4.184,1
2022-01-18 05:00:00+00:00,4.182,4.182,4.182,4.182,1
2022-01-18 06:00:00+00:00,4.185,4.185,4.185,4.185,1
2022-01-18 07:00:00+00:00,4.198,4.198,4.198,4.198,3
2022-01-18 08:00:00+00:00,4.201,4.201,4.201,4.201,5
2022-01-18 09:00:00+00:00,4.209,4.209,4.209,4.209,50
2022-01-18 10:00:00+00:00,4.219,4.219,4.219,4.219,50
2022-01-18 12:00:00+00:00,4.2,4.2,4.2,4.2,2
2022-01-18 13:00:00+00:00,4.191,4.191,4.191,4.191,5
2022-01-18 14:00:00+00:00,4.185,4.186,4.163,4.166,17
2022-01-18 15:00:00+00:00,4.138,4.138,4.138,4.138,1
2022-01-18 16:00:00+00:00,4.171,4.171,4.171,4.171,2
2022-01-18 18:00:00+00:00,4.133,4.133,4.1,4.1,7
2022-01-19 05:00:00+00:00,4.119,4.119,4.119,4.119,5
2022-01-19 06:00:00+00:00,4.099,4.099,4.099,4.099,5
2022-01-19 07:00:00+00:00,4.086,4.087,4.086,4.087,4
2022-01-19 08:00:00+00:00,4.084,4.084,4.084,4.084,1
2022-01-19 11:00:00+00:00,4.115,4.115,4.102,4.102,2
2022-01-19 13:00:00+00:00,4.108,4.108,4.108,4.108,4
2022-01-19 14:00:00+00:00,4.118,4.118,4.113,4.113,5
2022-01-19 16:00:00+00:00,4.025,4.025,4.025,4.025,3
2022-01-19 17:00:00+00:00,4.01,4.01,4.01,4.01,1
2022-01-19 18:00:00+00:00,3.993,4.002,3.98,3.997,7
2022-01-20 06:00:00+00:00,3.973,3.973,3.961,3.961,3
2022-01-20 08:00:00+00:00,3.955,3.955,3.955,3.955,1
2022-01-20 12:00:00+00:00,3.947,3.947,3.932,3.932,2
2022-01-20 13:00:00+00:00,3.901,3.901,3.901,3.901,1
2022-01-20 14:00:00+00:00,3.901,3.901,3.864,3.864,4
2022-01-20 15:00:00+00:00,3.843,3.85,3.84,3.84,18
2022-01-20 16:00:00+00:00,3.808,3.811,3.808,3.811,2
2022-01-20 17:00:00+00:00,3.833,3.854,3.833,3.854,3
2022-01-21 04:00:00+00:00,3.871,3.871,3.871,3.871,1
2022-01-21 05:00:00+00:00,3.885,3.885,3.885,3.885,1
2022-01-21 06:00:00+00:00,3.888,3.9,3.888,3.9,5
2022-01-21 07:00:00+00:00,3.924,3.924,3.92,3.92,3
2022-01-21 08:00:00+00:00,3.908,3.908,3.908,3.908,1
2022-01-21 09:00:00+00:00,3.898,3.898,3.898,3.898,1
2022-01-21 10:00:00+00:00,3.918,3.918,3.893,3.893,2
2022-01-21 11:00:00+00:00,3.843,3.843,3.843,3.843,4
2022-01-21 14:00:00+00:00,3.859,3.859,3.859,3.859,1
2022-01-21 15:00:00+00:00,3.843,3.851,3.84,3.851,7
2022-01-21 17:00:00+00:00,3.874,3.874,3.874,3.874,2
2022-01-21 18:00:00+00:00,3.887,3.908,3.886,3.908,14
2022-01-21 19:00:00+00:00,3.9,3.9,3.9,3.9,2
2022-01-21 20:00:00+00:00,3.87,3.87,3.87,3.87,5
2022-01-24 09:00:00+00:00,3.878,3.878,3.878,3.878,20
2022-01-24 12:00:00+00:00,3.902,3.902,3.902,3.902,1
2022-01-24 14:00:00+00:00,3.901,3.901,3.901,3.901,1
2022-01-24 15:00:00+00:00,3.906,3.94,3.906,3.94,10
2022-01-24 16:00:00+00:00,3.976,3.991,3.976,3.991,2
2022-01-24 17:00:00+00:00,3.944,3.956,3.944,3.956,2
2022-01-24 19:00:00+00:00,4.0,4.0,4.0,4.0,2
2022-01-25 15:00:00+00:00,3.968,3.968,3.968,3.968,4
2022-01-25 17:00:00+00:00,4.0,4.0,4.0,4.0,1
2022-01-25 18:00:00+00:00,4.015,4.015,4.015,4.015,1
2022-01-26 05:00:00+00:00,4.007,4.007,4.007,4.007,5
2022-01-26 06:00:00+00:00,4.03,4.03,4.03,4.03,1
2022-01-26 07:00:00+00:00,4.125,4.125,4.125,4.125,1
2022-01-26 11:00:00+00:00,4.2,4.2,4.2,4.2,1
2022-01-26 13:00:00+00:00,4.222,4.264,4.222,4.24,19
2022-01-26 14:00:00+00:00,4.2,4.203,4.2,4.203,6
2022-01-26 15:00:00+00:00,4.208,4.208,4.2,4.2,9
2022-01-26 17:00:00+00:00,4.082,4.11,4.082,4.11,11
2022-01-26 18:00:00+00:00,4.154,4.154,4.154,4.154,2
2022-01-26 19:00:00+00:00,4.123,4.123,4.123,4.123,1
2022-01-26 20:00:00+00:00,4.111,4.112,4.111,4.112,6
2022-01-27 06:00:00+00:00,4.224,4.224,4.224,4.224,3
2022-01-27 08:00:00+00:00,4.192,4.203,4.186,4.186,9
2022-01-27 09:00:00+00:00,4.178,4.185,4.178,4.185,4
2022-01-27 11:00:00+00:00,4.197,4.197,4.197,4.197,3
2022-01-27 12:00:00+00:00,4.174,4.174,4.174,4.174,3
2022-01-27 13:00:00+00:00,4.182,4.182,4.143,4.165,3
2022-01-27 16:00:00+00:00,4.27,4.27,4.27,4.27,1
2022-01-27 17:00:00+00:00,4.255,4.288,4.255,4.286,10
2022-01-27 18:00:00+00:00,4.309,4.309,4.292,4.292,3
2022-01-27 19:00:00+00:00,4.346,4.382,4.298,4.355,14
2022-01-27 20:00:00+00:00,4.382,4.382,4.353,4.357,12
2022-01-28 04:00:00+00:00,4.339,4.357,4.339,4.357,2
2022-01-28 06:00:00+00:00,4.302,4.31,4.302,4.31,9
2022-01-28 07:00:00+00:00,4.346,4.384,4.346,4.384,13
2022-01-28 08:00:00+00:00,4.349,4.349,4.349,4.349,1
2022-01-28 09:00:00+00:00,4.358,4.419,4.358,4.411,10
2022-01-28 10:00:00+00:00,4.415,4.415,4.36,4.36,7
2022-01-28 11:00:00+00:00,4.373,4.373,4.373,4.373,1
2022-01-28 12:00:00+00:00,4.399,4.52,4.399,4.5,15
2022-01-28 13:00:00+00:00,4.467,4.467,4.467,4.467,1
2022-01-28 14:00:00+00:00,4.65,4.692,4.502,4.588,30
2022-01-28 15:00:00+00:00,4.556,4.556,4.555,4.555,12
2022-01-28 16:00:00+00:00,4.523,4.616,4.523,4.616,22
2022-01-28 17:00:00+00:00,4.632,4.632,4.632,4.632,3
2022-01-28 18:00:00+00:00,4.68,4.68,4.6,4.6,8
2022-01-28 19:00:00+00:00,4.584,4.584,4.568,4.568,2
2022-01-31 04:00:00+00:00,4.725,4.8,4.725,4.8,7
2022-01-31 05:00:00+00:00,4.79,4.79,4.747,4.753,38
2022-01-31 06:00:00+00:00,4.732,4.75,4.727,4.75,46
2022-01-31 07:00:00+00:00,4.797,4.797,4.757,4.757,6
2022-01-31 08:00:00+00:00,4.742,4.752,4.698,4.7379999999999995,41
2022-01-31 09:00:00+00:00,4.714,4.73,4.714,4.72,13
2022-01-31 10:00:00+00:00,4.7219999999999995,4.746,4.7219999999999995,4.746,4
2022-01-31 12:00:00+00:00,4.737,4.737,4.737,4.737,1
2022-01-31 13:00:00+00:00,4.733,4.733,4.696,4.701,11
2022-01-31 14:00:00+00:00,4.693,4.693,4.681,4.681,39
2022-01-31 15:00:00+00:00,4.644,4.655,4.639,4.64,33
2022-01-31 16:00:00+00:00,4.671,4.671,4.671,4.671,3
2022-01-31 17:00:00+00:00,4.705,4.724,4.705,4.724,4
2022-01-31 18:00:00+00:00,4.777,4.85,4.777,4.811,48
2022-01-31 19:00:00+00:00,4.822,4.822,4.822,4.822,1
2022-02-01 06:00:00+00:00,4.736,4.74,4.736,4.74,3
2022-02-01 07:00:00+00:00,4.71,4.714,4.703,4.703,5
2022-02-01 09:00:00+00:00,4.6370000000000005,4.6370000000000005,4.626,4.626,14
2022-02-01 10:00:00+00:00,4.66,4.687,4.659,4.687,8
2022-02-01 11:00:00+00:00,4.693,4.693,4.693,4.693,1
2022-02-01 12:00:00+00:00,4.647,4.6690000000000005,4.636,4.6690000000000005,10
2022-02-01 13:00:00+00:00,4.623,4.623,4.62,4.62,4
2022-02-01 14:00:00+00:00,4.646,4.646,4.641,4.641,6
2022-02-01 15:00:00+00:00,4.666,4.73,4.666,4.73,5
2022-02-01 16:00:00+00:00,4.649,4.649,4.598,4.62,6
2022-02-01 20:00:00+00:00,4.714,4.714,4.714,4.714,1
2022-02-02 04:00:00+00:00,4.773,4.789,4.773,4.789,16
2022-02-02 06:00:00+00:00,4.79,4.82,4.79,4.82,2
2022-02-02 07:00:00+00:00,4.783,4.801,4.779,4.801,3
2022-02-02 08:00:00+00:00,4.755,4.755,4.755,4.755,1
2022-02-02 09:00:00+00:00,4.763,4.786,4.763,4.786,3
2022-02-02 10:00:00+00:00,4.78,4.902,4.78,4.902,59
2022-02-02 11:00:00+00:00,4.84,4.84,4.816,4.818,24
2022-02-02 12:00:00+00:00,4.899,5.0,4.899,4.99,259
2022-02-02 13:00:00+00:00,4.98,5.026,4.963,4.963,59
2022-02-02 14:00:00+00:00,4.969,4.969,4.922,4.926,24
2022-02-02 15:00:00+00:00,4.926,4.952,4.926,4.952,6
2022-02-02 16:00:00+00:00,4.931,4.993,4.912,4.993,9
2022-02-02 17:00:00+00:00,4.97,5.022,4.97,5.022,4
2022-02-02 18:00:00+00:00,5.028,5.065,5.019,5.06,58
2022-02-02 19:00:00+00:00,5.07,5.101,5.017,5.057,31
2022-02-02 20:00:00+00:00,5.038,5.038,5.02,5.026,15
2022-02-03 04:00:00+00:00,5.012,5.015,5.0,5.002,40
2022-02-03 05:00:00+00:00,5.013,5.013,5.013,5.013,1
2022-02-03 06:00:00+00:00,5.013,5.013,5.013,5.013,1
2022-02-03 07:00:00+00:00,4.993,5.019,4.993,5.019,35
2022-02-03 08:00:00+00:00,5.031,5.037,5.016,5.035,14
2022-02-03 09:00:00+00:00,5.031,5.031,5.028,5.028,7
2022-02-03 10:00:00+00:00,4.993,4.993,4.971,4.973,17
2022-02-03 11:00:00+00:00,4.9719999999999995,4.981,4.945,4.945,7
2022-02-03 12:00:00+00:00,4.961,4.967,4.951,4.951,18
2022-02-03 13:00:00+00:00,4.88,4.8870000000000005,4.795,4.795,24
2022-02-03 14:00:00+00:00,4.8,4.852,4.72,4.804,327
2022-02-03 15:00:00+00:00,4.878,4.878,4.8100000000000005,4.8100000000000005,9
2022-02-03 16:00:00+00:00,4.8100000000000005,4.819,4.767,4.808,21
2022-02-03 17:00:00+00:00,4.791,4.791,4.791,4.791,1
2022-02-03 18:00:00+00:00,4.848,4.848,4.836,4.836,6
2022-02-03 19:00:00+00:00,4.78,4.8309999999999995,4.78,4.8309999999999995,3
2022-02-03 20:00:00+00:00,4.862,4.862,4.862,4.862,10
2022-02-04 04:00:00+00:00,4.91,4.911,4.908,4.911,10
2022-02-04 05:00:00+00:00,4.915,4.921,4.875,4.879,34
2022-02-04 06:00:00+00:00,4.809,4.857,4.809,4.857,3
2022-02-04 07:00:00+00:00,4.823,4.823,4.805,4.805,2
2022-02-04 08:00:00+00:00,4.827,4.827,4.827,4.827,1
2022-02-04 09:00:00+00:00,4.888,4.891,4.888,4.891,14
2022-02-04 10:00:00+00:00,4.908,4.908,4.907,4.907,11
2022-02-04 11:00:00+00:00,4.889,4.889,4.75,4.75,16
2022-02-04 12:00:00+00:00,4.725,4.743,4.701,4.743,15
2022-02-04 13:00:00+00:00,4.743,4.757,4.712,4.712,9
2022-02-04 14:00:00+00:00,4.744,4.744,4.744,4.744,4
2022-02-04 16:00:00+00:00,4.742,4.742,4.742,4.742,1
2022-02-04 17:00:00+00:00,4.71,4.727,4.646,4.646,44
2022-02-04 18:00:00+00:00,4.6530000000000005,4.6530000000000005,4.611,4.612,38
2022-02-04 19:00:00+00:00,4.647,4.647,4.548,4.548,18
2022-02-04 20:00:00+00:00,4.548,4.556,4.548,4.556,50
2022-02-07 04:00:00+00:00,4.463,4.465,4.463,4.465,10
2022-02-07 05:00:00+00:00,4.465,4.483,4.465,4.483,9
2022-02-07 06:00:00+00:00,4.492,4.602,4.468,4.602,60
2022-02-07 07:00:00+00:00,4.501,4.516,4.465,4.515,39
2022-02-07 08:00:00+00:00,4.527,4.527,4.51,4.51,6
2022-02-07 10:00:00+00:00,4.49,4.49,4.49,4.49,1
2022-02-07 11:00:00+00:00,4.479,4.479,4.479,4.479,9
2022-02-07 12:00:00+00:00,4.504,4.504,4.504,4.504,2
2022-02-07 13:00:00+00:00,4.477,4.477,4.401,4.401,34
2022-02-07 14:00:00+00:00,4.389,4.397,4.3629999999999995,4.3629999999999995,26
2022-02-07 15:00:00+00:00,4.351,4.351,4.314,4.329,21
2022-02-07 16:00:00+00:00,4.3,4.304,4.275,4.275,147
2022-02-07 17:00:00+00:00,4.305,4.305,4.241,4.247,32
2022-02-07 18:00:00+00:00,4.2379999999999995,4.277,4.236,4.277,4
2022-02-07 19:00:00+00:00,4.325,4.33,4.319,4.32,5
2022-02-07 20:00:00+00:00,4.306,4.306,4.306,4.306,2
2022-02-08 04:00:00+00:00,4.353,4.36,4.344,4.344,22
2022-02-08 05:00:00+00:00,4.379,4.379,4.379,4.379,6
2022-02-08 06:00:00+00:00,4.385,4.411,4.385,4.411,3
2022-02-08 07:00:00+00:00,4.401,4.409,4.372,4.383,34
2022-02-08 08:00:00+00:00,4.368,4.368,4.3629999999999995,4.3629999999999995,44
2022-02-08 09:00:00+00:00,4.346,4.358,4.333,4.338,17
2022-02-08 10:00:00+00:00,4.357,4.36,4.34,4.34,7
2022-02-08 11:00:00+00:00,4.31,4.31,4.29,4.29,111
2022-02-08 12:00:00+00:00,4.31,4.402,4.31,4.402,20
2022-02-08 13:00:00+00:00,4.391,4.458,4.391,4.451,14
2022-02-08 14:00:00+00:00,4.392,4.392,4.372,4.372,5
2022-02-08 15:00:00+00:00,4.401,4.401,4.401,4.401,1
2022-02-08 17:00:00+00:00,4.401,4.401,4.401,4.401,1
2022-02-08 18:00:00+00:00,4.375,4.375,4.375,4.375,3
2022-02-08 19:00:00+00:00,4.338,4.338,4.337,4.337,2
2022-02-08 20:00:00+00:00,4.305,4.31,4.29,4.31,22
2022-02-09 04:00:00+00:00,4.337,4.337,4.337,4.337,1
2022-02-09 05:00:00+00:00,4.339,4.339,4.307,4.316,15
2022-02-09 06:00:00+00:00,4.336,4.336,4.302,4.304,5
2022-02-09 07:00:00+00:00,4.34,4.34,4.249,4.249,36
2022-02-09 08:00:00+00:00,4.26,4.26,4.26,4.26,6
2022-02-09 09:00:00+00:00,4.261,4.261,4.261,4.261,9
2022-02-09 10:00:00+00:00,4.26,4.26,4.26,4.26,1
2022-02-09 11:00:00+00:00,4.258,4.261,4.258,4.261,30
2022-02-09 12:00:00+00:00,4.252,4.287,4.182,4.182,60
2022-02-09 13:00:00+00:00,4.2,4.2,4.163,4.163,19
2022-02-09 14:00:00+00:00,4.136,4.149,4.135,4.149,27
2022-02-09 15:00:00+00:00,4.1370000000000005,4.1370000000000005,4.129,4.134,114
2022-02-09 16:00:00+00:00,4.144,4.144,4.12,4.122,8
2022-02-09 17:00:00+00:00,4.122,4.126,4.122,4.126,5
2022-02-09 18:00:00+00:00,4.112,4.112,4.111,4.111,11
2022-02-09 19:00:00+00:00,4.1,4.1,4.099,4.099,6
2022-02-09 20:00:00+00:00,4.109,4.109,4.097,4.097,12
2022-02-10 04:00:00+00:00,4.135,4.146,4.135,4.146,10
2022-02-10 05:00:00+00:00,4.134,4.134,4.126,4.126,7
2022-02-10 06:00:00+00:00,4.105,4.116,4.105,4.115,9
