time,open,high,low,close,volume
2022-02-21 08:00:00+00:00,4.6850000000000005,4.6850000000000005,4.6850000000000005,4.6850000000000005,1
2022-02-21 12:00:00+00:00,4.697,4.697,4.697,4.697,3
2022-02-23 19:00:00+00:00,4.657,4.657,4.657,4.657,3
2022-03-21 07:00:00+00:00,4.6,4.6,4.6,4.6,2
2022-03-21 11:00:00+00:00,4.588,4.677,4.588,4.677,2
2022-03-24 07:00:00+00:00,5.584,5.584,5.584,5.584,1
2022-03-29 07:00:00+00:00,5.122,5.695,4.7,5.695,3
2022-03-29 13:00:00+00:00,5.383,5.383,5.383,5.383,1
2022-03-31 14:00:00+00:00,5.548,5.549,5.548,5.549,5
2022-04-04 13:00:00+00:00,5.316,5.316,5.316,5.316,1
2022-04-05 10:00:00+00:00,5.41,5.41,5.41,5.41,1
2022-04-08 14:00:00+00:00,5.894,5.894,5.894,5.894,1
2022-04-11 07:00:00+00:00,5.418,5.418,5.418,5.418,1
2022-04-11 15:00:00+00:00,5.948,5.948,5.948,5.948,1
2022-04-12 08:00:00+00:00,5.888,5.888,5.888,5.888,1
2022-04-13 12:00:00+00:00,5.908,5.908,5.558,5.558,6
2022-04-18 07:00:00+00:00,6.499,6.499,6.499,6.499,1
2022-04-18 12:00:00+00:00,5.848,6.476,5.848,6.476,2
2022-04-19 09:00:00+00:00,6.276,6.355,6.276,6.355,2
2022-04-19 11:00:00+00:00,6.459,6.459,6.459,6.459,1
2022-04-19 12:00:00+00:00,6.001,6.245,5.7780000000000005,5.921,9
2022-04-19 13:00:00+00:00,5.933,5.933,5.933,5.933,1
2022-04-20 08:00:00+00:00,6.247,6.247,6.245,6.246,3
2022-04-20 09:00:00+00:00,6.246,6.246,6.246,6.246,1
2022-04-20 10:00:00+00:00,6.246,6.246,6.246,6.246,1
2022-04-20 11:00:00+00:00,6.309,6.309,6.309,6.309,1
2022-04-20 12:00:00+00:00,6.309,6.309,6.309,6.309,1
2022-04-20 14:00:00+00:00,6.159,6.159,6.159,6.159,1
2022-04-20 15:00:00+00:00,6.161,6.161,6.161,6.161,3
2022-04-21 14:00:00+00:00,6.18,6.18,6.18,6.18,1
2022-04-22 12:00:00+00:00,6.25,6.25,6.24,6.24,2
2022-04-22 15:00:00+00:00,6.29,6.29,6.29,6.29,1
2022-04-25 07:00:00+00:00,6.271,6.297,6.271,6.297,2
2022-04-25 08:00:00+00:00,6.299,6.299,6.299,6.299,8
2022-04-25 10:00:00+00:00,6.136,6.136,6.136,6.136,1
2022-04-25 12:00:00+00:00,6.322,6.322,6.322,6.322,2
2022-04-25 13:00:00+00:00,6.322,6.322,6.322,6.322,1
2022-04-25 14:00:00+00:00,6.323,6.323,6.323,6.323,3
2022-04-26 11:00:00+00:00,6.62,6.62,6.62,6.62,1
