time,open,high,low,close,volume
2021-04-22 17:00:00+00:00,3.006,3.006,3.006,3.006,1
2021-04-23 12:00:00+00:00,2.998,2.998,2.998,2.998,4
2021-04-26 18:00:00+00:00,3.011,3.011,3.011,3.011,1
2021-04-27 18:00:00+00:00,3.052,3.06,3.052,3.06,10
2021-04-30 12:00:00+00:00,3.043,3.043,3.043,3.043,1
2021-05-04 08:00:00+00:00,3.065,3.065,3.065,3.065,15
2021-05-04 12:00:00+00:00,3.093,3.093,3.093,3.093,5
2021-05-04 13:00:00+00:00,3.084,3.084,3.083,3.083,2
2021-05-06 06:00:00+00:00,3.07,3.07,3.07,3.07,1
2021-05-06 12:00:00+00:00,3.053,3.053,3.053,3.053,3
2021-05-06 19:00:00+00:00,3.062,3.062,3.062,3.062,12
2021-05-07 14:00:00+00:00,3.047,3.047,3.047,3.047,2
2021-05-10 08:00:00+00:00,3.043,3.043,3.043,3.043,1
2021-05-12 13:00:00+00:00,3.077,3.077,3.077,3.077,1
2021-05-12 15:00:00+00:00,3.09,3.09,3.09,3.09,5
2021-05-12 19:00:00+00:00,3.097,3.097,3.097,3.097,1
2021-05-13 14:00:00+00:00,3.107,3.107,3.107,3.107,4
2021-05-14 12:00:00+00:00,3.127,3.127,3.127,3.127,5
2021-05-14 13:00:00+00:00,3.105,3.105,3.105,3.105,1
2021-05-14 17:00:00+00:00,3.101,3.101,3.101,3.101,5
2021-05-17 06:00:00+00:00,3.1,3.1,3.1,3.1,1
2021-05-17 07:00:00+00:00,3.153,3.153,3.153,3.153,5
2021-05-17 09:00:00+00:00,3.156,3.156,3.156,3.156,1
2021-05-17 13:00:00+00:00,3.19,3.19,3.19,3.19,20
2021-05-17 17:00:00+00:00,3.242,3.242,3.242,3.242,3
2021-05-17 19:00:00+00:00,3.217,3.217,3.217,3.217,1
2021-05-18 13:00:00+00:00,3.184,3.184,3.184,3.184,1
2021-05-18 14:00:00+00:00,3.179,3.182,3.179,3.182,4
2021-05-18 15:00:00+00:00,3.167,3.167,3.167,3.167,1
2021-05-18 18:00:00+00:00,3.163,3.163,3.163,3.163,1
2021-05-19 07:00:00+00:00,3.146,3.146,3.146,3.146,5
2021-05-19 14:00:00+00:00,3.122,3.122,3.122,3.122,1
2021-05-19 18:00:00+00:00,3.126,3.126,3.126,3.126,1
2021-05-20 14:00:00+00:00,3.077,3.077,3.077,3.077,2
2021-05-21 11:00:00+00:00,3.11,3.11,3.107,3.107,2
2021-05-24 09:00:00+00:00,3.052,3.052,3.052,3.052,1
2021-05-24 10:00:00+00:00,3.049,3.049,3.048,3.048,2
2021-05-26 13:00:00+00:00,3.104,3.104,3.104,3.104,6
2021-05-26 17:00:00+00:00,3.12,3.12,3.12,3.12,2
2021-05-27 15:00:00+00:00,3.05,3.05,3.05,3.05,5
2021-05-31 11:00:00+00:00,3.096,3.096,3.096,3.096,5
2021-06-01 09:00:00+00:00,3.165,3.165,3.165,3.165,1
2021-06-01 13:00:00+00:00,3.2,3.2,3.2,3.2,1
2021-06-02 09:00:00+00:00,3.165,3.165,3.165,3.165,1
2021-06-02 11:00:00+00:00,3.162,3.162,3.162,3.162,1
2021-06-03 14:00:00+00:00,3.143,3.143,3.143,3.143,3
2021-06-04 15:00:00+00:00,3.142,3.142,3.142,3.142,1
2021-06-04 17:00:00+00:00,3.183,3.183,3.181,3.181,5
2021-06-04 19:00:00+00:00,3.175,3.175,3.175,3.175,1
2021-06-07 17:00:00+00:00,3.167,3.167,3.167,3.167,5
2021-06-08 10:00:00+00:00,3.206,3.206,3.206,3.206,5
2021-06-08 12:00:00+00:00,3.234,3.234,3.234,3.234,2
2021-06-08 14:00:00+00:00,3.246,3.246,3.246,3.246,1
2021-06-08 15:00:00+00:00,3.249,3.249,3.249,3.249,5
2021-06-09 08:00:00+00:00,3.202,3.203,3.202,3.203,2
2021-06-09 17:00:00+00:00,3.224,3.224,3.224,3.224,5
2021-06-09 19:00:00+00:00,3.227,3.227,3.227,3.227,1
2021-06-10 07:00:00+00:00,3.247,3.247,3.247,3.247,3
2021-06-10 13:00:00+00:00,3.249,3.249,3.249,3.249,5
2021-06-10 19:00:00+00:00,3.2359999999999998,3.2359999999999998,3.2359999999999998,3.2359999999999998,1
2021-06-11 04:00:00+00:00,3.25,3.25,3.25,3.25,1
2021-06-11 06:00:00+00:00,3.3,3.3,3.3,3.3,1
2021-06-11 08:00:00+00:00,3.31,3.31,3.31,3.31,5
2021-06-11 13:00:00+00:00,3.331,3.331,3.331,3.331,2
2021-06-11 15:00:00+00:00,3.34,3.349,3.34,3.349,3
2021-06-11 16:00:00+00:00,3.357,3.357,3.357,3.357,4
2021-06-11 17:00:00+00:00,3.385,3.385,3.385,3.385,5
2021-06-11 19:00:00+00:00,3.355,3.355,3.355,3.355,5
2021-06-14 18:00:00+00:00,3.411,3.411,3.411,3.411,10
2021-06-15 13:00:00+00:00,3.412,3.412,3.412,3.412,1
2021-06-15 14:00:00+00:00,3.379,3.379,3.379,3.379,3
2021-06-15 16:00:00+00:00,3.34,3.34,3.339,3.339,10
2021-06-15 18:00:00+00:00,3.323,3.323,3.323,3.323,2
2021-06-16 09:00:00+00:00,3.307,3.307,3.306,3.306,6
2021-06-16 15:00:00+00:00,3.3449999999999998,3.3449999999999998,3.3449999999999998,3.3449999999999998,1
2021-06-17 11:00:00+00:00,3.311,3.311,3.311,3.311,2
2021-06-17 14:00:00+00:00,3.315,3.315,3.284,3.284,8
2021-06-17 15:00:00+00:00,3.303,3.303,3.303,3.303,1
2021-06-17 16:00:00+00:00,3.293,3.293,3.281,3.281,4
2021-06-18 06:00:00+00:00,3.281,3.281,3.281,3.281,2
2021-06-18 07:00:00+00:00,3.265,3.265,3.26,3.26,2
2021-06-21 10:00:00+00:00,3.274,3.274,3.274,3.274,1
2021-06-21 11:00:00+00:00,3.268,3.27,3.268,3.27,2
2021-06-21 14:00:00+00:00,3.263,3.263,3.263,3.263,1
2021-06-23 13:00:00+00:00,3.404,3.404,3.396,3.396,2
2021-06-23 15:00:00+00:00,3.425,3.428,3.413,3.413,28
2021-06-24 08:00:00+00:00,3.387,3.387,3.387,3.387,10
2021-06-24 09:00:00+00:00,3.387,3.387,3.387,3.387,2
2021-06-24 16:00:00+00:00,3.4699999999999998,3.4699999999999998,3.4699999999999998,3.4699999999999998,15
2021-06-24 19:00:00+00:00,3.474,3.474,3.465,3.465,3
2021-06-25 07:00:00+00:00,3.472,3.472,3.472,3.472,1
2021-06-25 13:00:00+00:00,3.48,3.491,3.48,3.491,2
2021-06-25 16:00:00+00:00,3.529,3.529,3.529,3.529,1
2021-06-25 18:00:00+00:00,3.531,3.531,3.531,3.531,2
2021-06-25 20:00:00+00:00,3.551,3.551,3.551,3.551,1
2021-06-28 09:00:00+00:00,3.5709999999999997,3.5709999999999997,3.5709999999999997,3.5709999999999997,1
2021-06-28 12:00:00+00:00,3.586,3.607,3.586,3.607,11
2021-06-28 16:00:00+00:00,3.659,3.659,3.659,3.659,1
2021-06-29 04:00:00+00:00,3.6,3.6,3.6,3.6,2
2021-06-29 12:00:00+00:00,3.727,3.727,3.727,3.727,1
2021-06-29 13:00:00+00:00,3.755,3.755,3.737,3.737,7
2021-06-29 14:00:00+00:00,3.797,3.797,3.797,3.797,1
2021-06-29 15:00:00+00:00,3.785,3.79,3.785,3.79,4
2021-06-29 16:00:00+00:00,3.729,3.73,3.705,3.705,25
2021-06-29 18:00:00+00:00,3.661,3.668,3.661,3.668,6
2021-06-29 19:00:00+00:00,3.674,3.674,3.674,3.674,5
2021-06-30 13:00:00+00:00,3.674,3.674,3.674,3.674,1
2021-06-30 14:00:00+00:00,3.662,3.662,3.662,3.662,2
2021-06-30 15:00:00+00:00,3.632,3.633,3.632,3.633,2
2021-06-30 16:00:00+00:00,3.672,3.672,3.672,3.672,1
2021-07-01 08:00:00+00:00,3.73,3.737,3.73,3.737,2
2021-07-01 13:00:00+00:00,3.693,3.693,3.6790000000000003,3.6790000000000003,2
2021-07-01 14:00:00+00:00,3.637,3.637,3.637,3.637,1
2021-07-02 17:00:00+00:00,3.718,3.718,3.718,3.718,5
2021-07-05 10:00:00+00:00,3.733,3.733,3.733,3.733,4
2021-07-05 12:00:00+00:00,3.733,3.733,3.733,3.733,1
2021-07-05 13:00:00+00:00,3.735,3.735,3.735,3.735,1
2021-07-05 15:00:00+00:00,3.747,3.747,3.747,3.747,1
2021-07-06 13:00:00+00:00,3.678,3.678,3.678,3.678,1
2021-07-06 14:00:00+00:00,3.659,3.659,3.657,3.657,7
2021-07-06 17:00:00+00:00,3.677,3.677,3.677,3.677,2
2021-07-07 07:00:00+00:00,3.702,3.702,3.702,3.702,4
2021-07-07 13:00:00+00:00,3.62,3.62,3.62,3.62,5
2021-07-07 14:00:00+00:00,3.557,3.575,3.557,3.575,35
2021-07-07 17:00:00+00:00,3.606,3.606,3.606,3.606,10
2021-07-08 07:00:00+00:00,3.6109999999999998,3.6109999999999998,3.6109999999999998,3.6109999999999998,17
2021-07-08 11:00:00+00:00,3.6390000000000002,3.6390000000000002,3.638,3.638,17
2021-07-08 17:00:00+00:00,3.715,3.715,3.715,3.715,20
2021-07-08 18:00:00+00:00,3.7199999999999998,3.7199999999999998,3.7199999999999998,3.7199999999999998,1
2021-07-08 19:00:00+00:00,3.717,3.717,3.717,3.717,2
2021-07-09 12:00:00+00:00,3.75,3.752,3.75,3.751,32
2021-07-09 17:00:00+00:00,3.743,3.743,3.743,3.743,20
2021-07-09 18:00:00+00:00,3.726,3.726,3.726,3.726,30
2021-07-12 17:00:00+00:00,3.758,3.758,3.758,3.758,10
2021-07-13 09:00:00+00:00,3.778,3.778,3.778,3.778,2
2021-07-13 14:00:00+00:00,3.749,3.749,3.749,3.749,3
2021-07-14 12:00:00+00:00,3.77,3.79,3.77,3.79,22
2021-07-14 16:00:00+00:00,3.716,3.716,3.716,3.716,10
2021-07-14 17:00:00+00:00,3.7,3.725,3.7,3.725,30
2021-07-15 04:00:00+00:00,3.666,3.666,3.666,3.666,1
2021-07-15 07:00:00+00:00,3.723,3.723,3.723,3.723,1
2021-07-15 14:00:00+00:00,3.68,3.68,3.68,3.68,20
2021-07-15 15:00:00+00:00,3.702,3.702,3.702,3.702,1
2021-07-15 17:00:00+00:00,3.7,3.7,3.7,3.7,1
2021-07-15 19:00:00+00:00,3.682,3.682,3.682,3.682,10
2021-07-15 20:00:00+00:00,3.685,3.685,3.685,3.685,5
2021-07-16 08:00:00+00:00,3.659,3.659,3.659,3.659,20
2021-07-16 10:00:00+00:00,3.657,3.659,3.657,3.659,24
2021-07-16 11:00:00+00:00,3.69,3.69,3.69,3.69,5
2021-07-16 12:00:00+00:00,3.69,3.71,3.69,3.71,25
2021-07-16 13:00:00+00:00,3.715,3.717,3.715,3.717,20
2021-07-16 14:00:00+00:00,3.7199999999999998,3.7199999999999998,3.7199999999999998,3.7199999999999998,7
2021-07-16 17:00:00+00:00,3.7199999999999998,3.73,3.7199999999999998,3.73,30
2021-07-16 18:00:00+00:00,3.731,3.731,3.731,3.731,10
2021-07-19 07:00:00+00:00,3.75,3.75,3.75,3.75,20
2021-07-19 08:00:00+00:00,3.753,3.753,3.753,3.753,1
2021-07-19 10:00:00+00:00,3.754,3.771,3.754,3.771,53
2021-07-19 11:00:00+00:00,3.778,3.7800000000000002,3.778,3.7800000000000002,50
2021-07-19 12:00:00+00:00,3.799,3.8,3.799,3.8,29
2021-07-19 13:00:00+00:00,3.784,3.784,3.784,3.784,20
2021-07-19 14:00:00+00:00,3.77,3.77,3.77,3.77,10
2021-07-19 15:00:00+00:00,3.799,3.799,3.799,3.799,5
2021-07-19 17:00:00+00:00,3.801,3.806,3.801,3.805,13
2021-07-19 18:00:00+00:00,3.81,3.81,3.81,3.81,10
2021-07-19 19:00:00+00:00,3.816,3.816,3.816,3.816,10
2021-07-19 20:00:00+00:00,3.803,3.803,3.803,3.803,10
2021-07-20 10:00:00+00:00,3.801,3.802,3.801,3.801,5
2021-07-20 12:00:00+00:00,3.801,3.87,3.801,3.87,70
2021-07-20 13:00:00+00:00,3.87,3.87,3.855,3.865,17
2021-07-20 14:00:00+00:00,3.872,3.872,3.872,3.872,1
2021-07-20 15:00:00+00:00,3.882,3.882,3.882,3.882,1
2021-07-20 16:00:00+00:00,3.887,3.888,3.887,3.888,11
2021-07-20 18:00:00+00:00,3.907,3.907,3.907,3.907,11
2021-07-20 19:00:00+00:00,3.8970000000000002,3.8970000000000002,3.8970000000000002,3.8970000000000002,1
2021-07-20 20:00:00+00:00,3.945,3.945,3.941,3.941,12
2021-07-21 07:00:00+00:00,3.939,3.957,3.939,3.957,11
2021-07-21 10:00:00+00:00,3.965,3.965,3.965,3.965,1
2021-07-21 11:00:00+00:00,3.9699999999999998,3.9699999999999998,3.9699999999999998,3.9699999999999998,5
2021-07-21 13:00:00+00:00,3.932,3.9370000000000003,3.932,3.9370000000000003,33
2021-07-21 14:00:00+00:00,3.965,3.976,3.964,3.976,10
2021-07-21 15:00:00+00:00,3.974,3.974,3.974,3.974,1
2021-07-21 18:00:00+00:00,3.976,3.976,3.976,3.976,1
2021-07-22 11:00:00+00:00,3.965,3.965,3.965,3.965,2
2021-07-22 14:00:00+00:00,3.949,3.949,3.949,3.949,1
2021-07-22 16:00:00+00:00,3.979,3.979,3.979,3.979,6
2021-07-22 17:00:00+00:00,4.005,4.005,4.005,4.005,2
2021-07-22 19:00:00+00:00,4.022,4.022,4.022,4.022,50
2021-07-22 20:00:00+00:00,4.03,4.03,4.03,4.03,24
2021-07-23 04:00:00+00:00,4.029,4.029,4.029,4.029,2
2021-07-23 06:00:00+00:00,4.02,4.02,4.02,4.02,2
2021-07-23 11:00:00+00:00,4.035,4.035,4.035,4.035,1
2021-07-23 12:00:00+00:00,4.024,4.024,4.024,4.024,1
2021-07-23 13:00:00+00:00,4.033,4.05,4.033,4.05,8
2021-07-23 14:00:00+00:00,4.041,4.064,4.041,4.058,14
2021-07-23 15:00:00+00:00,4.058,4.066,4.058,4.066,4
2021-07-23 17:00:00+00:00,4.087,4.089,4.087,4.089,11
2021-07-26 05:00:00+00:00,4.053,4.056,4.053,4.056,6
2021-07-26 06:00:00+00:00,4.057,4.057,4.057,4.057,1
2021-07-26 07:00:00+00:00,4.064,4.1,4.064,4.1,11
2021-07-26 08:00:00+00:00,4.093,4.093,4.085,4.085,12
2021-07-26 09:00:00+00:00,4.101,4.106,4.101,4.106,7
2021-07-26 10:00:00+00:00,4.143,4.143,4.143,4.143,1
2021-07-26 11:00:00+00:00,4.15,4.18,4.15,4.169,30
2021-07-26 12:00:00+00:00,4.18,4.18,4.18,4.18,10
