time,open,high,low,close,volume
2022-05-24 09:00:00+00:00,8.776,8.813,8.776,8.813,4
2022-05-24 10:00:00+00:00,8.813,8.859,8.813,8.859,8
2022-05-24 11:00:00+00:00,8.471,8.471,8.471,8.471,1
2022-05-24 12:00:00+00:00,8.36,8.366,8.36,8.366,2
2022-05-24 13:00:00+00:00,8.841,8.841,8.841,8.841,1
2022-05-25 07:00:00+00:00,8.959,9.376,8.959,9.376,2
2022-05-25 11:00:00+00:00,8.85,8.85,8.85,8.85,1
2022-05-25 12:00:00+00:00,8.85,8.85,8.85,8.85,4
2022-05-25 13:00:00+00:00,8.983,8.983,8.983,8.983,1
2022-06-02 13:00:00+00:00,8.799,8.799,8.799,8.799,2
2022-06-06 12:00:00+00:00,9.147,9.147,9.147,9.147,2
2022-06-07 12:00:00+00:00,9.027,9.027,9.027,9.027,2
2022-06-07 15:00:00+00:00,8.979,8.979,8.979,8.979,1
2022-06-08 15:00:00+00:00,9.339,9.339,9.339,9.339,1
2022-06-09 08:00:00+00:00,8.771,8.771,8.771,8.771,1
2022-06-09 14:00:00+00:00,8.654,8.654,8.654,8.654,1
2022-06-09 15:00:00+00:00,8.649000000000001,8.65,8.649000000000001,8.65,2
2022-06-14 07:00:00+00:00,8.65,8.65,8.463,8.463,10
2022-06-14 13:00:00+00:00,8.5,8.5,8.392,8.392,5
2022-06-15 12:00:00+00:00,8.241,8.241,8.241,8.241,4
2022-06-16 15:00:00+00:00,8.661,8.661,8.661,8.661,1
2022-06-17 14:00:00+00:00,8.068,8.068,8.055,8.055,2
2022-06-20 08:00:00+00:00,7.7,8.0,7.7,8.0,2
2022-06-20 14:00:00+00:00,7.804,7.804,7.802,7.802,5
2022-06-21 11:00:00+00:00,7.8,7.8,7.8,7.8,1
2022-06-21 13:00:00+00:00,7.768,7.768,7.768,7.768,1
2022-06-23 14:00:00+00:00,7.4879999999999995,7.622,7.4879999999999995,7.622,5
2022-06-23 15:00:00+00:00,7.395,7.395,7.394,7.394,2
2022-06-24 09:00:00+00:00,7.367,7.367,7.367,7.367,1
2022-06-24 10:00:00+00:00,7.205,7.205,7.15,7.15,5
2022-06-27 08:00:00+00:00,7.265,7.265,7.265,7.265,1
2022-06-27 14:00:00+00:00,7.079,7.079,7.079,7.079,1
2022-06-28 10:00:00+00:00,7.511,7.606,7.511,7.606,5
2022-06-29 09:00:00+00:00,7.656,7.656,7.6129999999999995,7.6129999999999995,3
2022-06-29 11:00:00+00:00,7.62,7.62,7.62,7.62,1
2022-06-29 12:00:00+00:00,7.501,7.501,7.501,7.501,1
2022-06-29 13:00:00+00:00,7.646,7.646,7.646,7.646,5
2022-06-30 10:00:00+00:00,7.296,7.296,7.256,7.256,5
2022-06-30 11:00:00+00:00,7.255,7.255,7.079,7.079,3
2022-06-30 12:00:00+00:00,7.079,7.079,7.079,7.079,1
2022-06-30 13:00:00+00:00,7.153,7.153,7.153,7.153,2
2022-06-30 14:00:00+00:00,7.133,7.133,6.909,6.909,5
2022-06-30 15:00:00+00:00,7.022,7.028,6.91,6.91,6
2022-07-01 07:00:00+00:00,6.5440000000000005,6.559,6.5440000000000005,6.559,2
2022-07-01 09:00:00+00:00,6.64,6.64,6.64,6.64,4
2022-07-01 10:00:00+00:00,6.64,6.64,6.64,6.64,3
2022-07-01 11:00:00+00:00,6.641,6.643,6.64,6.643,13
2022-07-01 12:00:00+00:00,6.6530000000000005,6.687,6.6530000000000005,6.687,6
2022-07-01 13:00:00+00:00,6.66,6.66,6.64,6.64,6
2022-07-01 14:00:00+00:00,6.695,6.695,6.695,6.695,1
2022-07-01 15:00:00+00:00,6.886,6.9190000000000005,6.886,6.9190000000000005,2
2022-07-04 07:00:00+00:00,6.829,6.829,6.829,6.829,1
2022-07-04 08:00:00+00:00,6.845,6.85,6.845,6.85,2
2022-07-04 13:00:00+00:00,6.85,6.85,6.85,6.85,1
2022-07-04 14:00:00+00:00,6.824,6.824,6.824,6.824,1
2022-07-05 07:00:00+00:00,6.83,6.83,6.83,6.83,1
2022-07-05 08:00:00+00:00,6.82,6.82,6.82,6.82,1
2022-07-05 09:00:00+00:00,6.802,6.802,6.802,6.802,2
2022-07-05 12:00:00+00:00,6.72,6.72,6.72,6.72,1
2022-07-05 14:00:00+00:00,6.72,6.785,6.72,6.785,2
2022-07-06 10:00:00+00:00,6.867,7.338,6.867,7.014,11
2022-07-06 11:00:00+00:00,7.002,7.002,6.954,6.954,3
2022-07-06 12:00:00+00:00,6.923,6.923,6.923,6.923,1
2022-07-06 13:00:00+00:00,6.925,6.925,6.924,6.924,3
2022-07-06 14:00:00+00:00,6.857,6.857,6.663,6.663,12
2022-07-06 15:00:00+00:00,6.8,6.8,6.8,6.8,1
2022-07-07 08:00:00+00:00,6.8,6.811,6.8,6.811,2
2022-07-07 11:00:00+00:00,6.873,6.873,6.873,6.873,1
