time,open,high,low,close,volume
2021-06-22 13:00:00+00:00,3.511,3.511,3.511,3.511,1
2021-06-23 11:00:00+00:00,3.548,3.548,3.548,3.548,1
2021-06-24 17:00:00+00:00,3.642,3.642,3.637,3.637,2
2021-06-25 10:00:00+00:00,3.651,3.651,3.651,3.651,4
2021-06-25 14:00:00+00:00,3.683,3.683,3.683,3.683,1
2021-06-25 18:00:00+00:00,3.705,3.705,3.705,3.705,4
2021-06-25 19:00:00+00:00,3.701,3.701,3.701,3.701,10
2021-06-28 07:00:00+00:00,3.735,3.735,3.735,3.735,1
2021-06-28 09:00:00+00:00,3.73,3.73,3.73,3.73,1
2021-06-28 12:00:00+00:00,3.747,3.7560000000000002,3.747,3.7560000000000002,8
2021-06-29 11:00:00+00:00,3.807,3.844,3.807,3.844,14
2021-06-29 12:00:00+00:00,3.88,3.88,3.88,3.88,4
2021-06-30 05:00:00+00:00,3.867,3.867,3.867,3.867,1
2021-06-30 09:00:00+00:00,3.862,3.862,3.862,3.862,1
2021-06-30 12:00:00+00:00,3.879,3.8890000000000002,3.879,3.8890000000000002,5
2021-06-30 18:00:00+00:00,3.801,3.801,3.801,3.801,1
2021-06-30 19:00:00+00:00,3.85,3.9,3.85,3.9,2
2021-07-01 08:00:00+00:00,3.895,3.895,3.884,3.884,2
2021-07-02 19:00:00+00:00,3.858,3.858,3.858,3.858,1
2021-07-06 11:00:00+00:00,3.895,3.895,3.894,3.894,2
2021-07-06 14:00:00+00:00,3.8129999999999997,3.8129999999999997,3.8129999999999997,3.8129999999999997,1
2021-07-07 14:00:00+00:00,3.75,3.75,3.75,3.75,1
2021-07-07 15:00:00+00:00,3.732,3.732,3.732,3.732,1
2021-07-08 15:00:00+00:00,3.862,3.862,3.862,3.862,1
2021-07-09 11:00:00+00:00,3.877,3.877,3.877,3.877,1
2021-07-12 13:00:00+00:00,3.911,3.9379999999999997,3.911,3.9379999999999997,6
2021-07-13 13:00:00+00:00,3.9050000000000002,3.9050000000000002,3.9050000000000002,3.9050000000000002,1
2021-07-14 12:00:00+00:00,3.961,3.961,3.959,3.959,2
2021-07-14 13:00:00+00:00,3.967,3.967,3.967,3.967,1
2021-07-15 14:00:00+00:00,3.868,3.868,3.868,3.868,5
2021-07-19 08:00:00+00:00,3.925,3.925,3.925,3.925,1
2021-07-19 12:00:00+00:00,3.9779999999999998,3.9779999999999998,3.9779999999999998,3.9779999999999998,1
2021-07-19 16:00:00+00:00,3.953,3.953,3.953,3.953,4
